fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,optimal_threshold,f1_optimized,last_sign_accuracy,last_sign_f1,logloss,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy,baseline_f1,baseline_precision,baseline_recall,confusion_matrix
1,MSFT,lstm,classification,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.32142857142857145,0.17106870737721305,0.7874354561101549,0.32142857142857145,0.5086206896551724,0.5086206896551724,0.1,0.17106870737721305,0.30952380952380953,0.14632034632034632,,6.317977142000018,0.2927104540030996,0.30952380952380953,0.30952380952380953,0.14632034632034632,0.30952380952380953,0.30952380952380953,"[[78, 0], [171, 3]]"
2,MSFT,lstm,classification,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.5476190476190477,0.5421425568966554,0.7260061024105967,0.5476190476190477,0.6362984218077474,0.6362984218077474,0.1,0.5421425568966554,0.6746031746031746,0.5435191454148801,,6.114091060000646,0.2936304270006076,0.6746031746031746,0.6746031746031746,0.5435191454148801,0.6746031746031746,0.6746031746031746,"[[65, 105], [9, 73]]"
3,MSFT,lstm,classification,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.6071428571428571,0.5796460176991151,0.59375,0.6071428571428571,0.5653061224489796,0.5653061224489796,0.1,0.5796460176991151,0.5833333333333334,0.4298245614035088,,8.656968583996786,0.2371274920005817,0.5833333333333334,0.5833333333333334,0.4298245614035088,0.5833333333333334,0.5833333333333334,"[[120, 27], [72, 33]]"
4,MSFT,lstm,classification,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.5912698412698413,0.5614961214112858,0.7533016898499132,0.5912698412698413,0.6503921568627451,0.6503921568627452,0.1,0.5614961214112858,0.40476190476190477,0.23325262308313158,,6.984874704001413,0.26794394299940905,0.40476190476190477,0.40476190476190477,0.23325262308313158,0.40476190476190477,0.40476190476190477,"[[98, 4], [99, 51]]"
5,MSFT,lstm,classification,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.4722222222222222,0.40241034685479127,0.7010732323232324,0.4722222222222222,0.5681193429433457,0.5681193429433455,0.1,0.40241034685479127,0.623015873015873,0.4783055846625529,,8.19176133899964,0.2518164200009778,0.623015873015873,0.623015873015873,0.4783055846625529,0.623015873015873,0.623015873015873,"[[91, 4], [129, 28]]"
6,MSFT,lstm,classification,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.5714285714285714,0.6148859176332965,0.694010071561092,0.5714285714285714,0.5042892156862745,0.5042892156862746,0.1,0.6148859176332965,0.8095238095238095,0.7243107769423559,,9.63664669300124,0.2276160439978412,0.8095238095238095,0.8095238095238095,0.7243107769423559,0.8095238095238095,0.8095238095238095,"[[19, 29], [79, 125]]"
7,MSFT,lstm,classification,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.5515873015873016,0.4046490709841554,0.4214669738863287,0.5515873015873016,0.4938662066321641,0.4938662066321641,0.1,0.4046490709841554,0.44047619047619047,0.2693821330184966,,8.39936335099992,0.23803592100011883,0.44047619047619047,0.44047619047619047,0.2693821330184966,0.44047619047619047,0.44047619047619047,"[[1, 110], [3, 138]]"
8,MSFT,lstm,classification,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.5634920634920635,0.5674408300409851,0.5747892204567572,0.5634920634920635,0.5549613784907903,0.5549613784907903,0.1,0.5674408300409851,0.6071428571428571,0.4587301587301587,,8.81136284600143,0.22558802499770536,0.6071428571428571,0.6071428571428571,0.4587301587301587,0.6071428571428571,0.6071428571428571,"[[51, 48], [62, 91]]"
