fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,MSFT,arima,regression,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.7603415183249081,0.8719756409011138,0.7971797889013078,-9.46166144710424,0.6692159382453782,0.2741600729451896,0.4703653099087393,0.3906892137992038,-2.7722126128067064,12.11896576899926,0.051761787000941695
2,MSFT,arima,regression,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,1.1390191224021897,1.0672483883343136,1.0078937299965158,-12.417797025718942,0.8320778889908554,0.43198392407254216,0.5906937663774124,0.4643537874222118,-4.088828183458722,14.434567676998995,0.01830542300012894
3,MSFT,arima,regression,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.06968294479047667,0.26397527306639285,0.21334376192985977,-0.743856709118333,0.15339173547161028,0.05475984938786815,0.18783043375942413,0.13699290222292848,-0.3703974628578637,6.712028007999834,0.024434546001430135
4,MSFT,arima,regression,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.12202845500444699,0.3493257147769786,0.30663501699579165,-1.7466204539912527,0.21847452640773934,0.08045210489039488,0.24849280533415705,0.18038455481790938,-0.8108186066154472,14.068520999000611,0.04763900500074669
5,MSFT,arima,regression,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.05148051673323455,0.22689318353188698,0.18005443821194206,-0.12721303180511856,0.2109789905791413,0.0760251365303805,0.22480132814168374,0.27117967900365836,-0.6646399469117461,16.97041233100026,0.01668950500061328
6,MSFT,arima,regression,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.10159712174357644,0.31874303403145365,0.26932702778692424,-0.20350003899797153,0.23640311615421186,0.08623635373382106,0.26248350412695426,0.21988508775850454,-0.021539324151705674,3.3966351529998065,0.02046937699924456
7,MSFT,arima,regression,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.08421041667639644,0.2901903111346008,0.24194114951137516,-0.6309415670074552,0.19580792826335233,0.07012001218230404,0.21699403524636918,0.17825047076935027,-0.35804627338027095,5.098913249001271,0.019724666000911384
8,MSFT,arima,regression,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.10802884893239427,0.3286774238252367,0.2704687389029973,-1.4492948078683061,0.3517386229702211,0.11456002982302758,0.27982737222982706,0.3632184220068712,-1.5973736553497098,17.255110670999784,0.020045208000738057
