fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,AAPL,lstm,regression,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.3293417608097617,0.5738830549944489,0.5138243197129965,-3.227145121043887,0.5359517457825427,0.4946319980010833,0.6517669386591263,0.6660029710221931,-5.348667207952782,6.9798033829999895,0.2776155889999927
2,AAPL,lstm,regression,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.13890253591355076,0.37269630520512376,0.31080365993724846,-1.6409228744867561,0.2654412519500985,0.17344250650466286,0.3537986092261633,0.29224872707912325,-2.2976236166165074,10.127959319000013,0.24018854100000908
3,AAPL,lstm,regression,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.19620884570120947,0.44295467680250256,0.35875188761691706,-0.3634342452395387,9.899731029331292,0.184152156551556,0.32547717816717076,12.139571055373304,-0.2796536041980775,10.62586053900003,0.23008859199995868
4,AAPL,lstm,regression,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.09952699393271304,0.3154789912699624,0.24534581788168272,-0.1868401053268225,0.26856591677068814,0.14850297990603953,0.33677280355463757,0.4603861835861965,-0.770869242089026,11.193281666000019,0.23438515099996948
5,AAPL,lstm,regression,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.08940325491112992,0.2990037707306213,0.23778247380927794,-0.33505274420411846,0.26777533847629237,0.14131367285834287,0.30485730070418854,0.29405652686385364,-1.1102274959744878,11.525055805000022,0.22720221000002994
6,AAPL,lstm,regression,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.10382481938264074,0.3222185894430064,0.2495896602357573,-0.18019138225098885,0.9350982407113889,0.08926664707018696,0.2236749633292801,0.8858630623618126,-0.014706581924330608,12.116783446,0.21627499500004888
7,AAPL,lstm,regression,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.25834916434054245,0.5082805960692799,0.41132295511913625,-0.22180453367283204,1.608319944006573,0.22018219770496247,0.39221284899282055,1.2507639926784218,-0.04130240977036137,12.546053578999988,0.19152742199997874
8,AAPL,lstm,regression,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.13704063126156207,0.37018999346492615,0.3038323664842488,-1.0723368133231803,0.7268787419838991,0.14010414133078677,0.3157219529611298,0.7837532652443041,-1.1186634000878453,12.997584066999991,0.18655676299999868
