fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_r2,fit_time,pred_time
1,CBA.AX,arima,regression,252,252,1991-12-05 13:00:00,1993-06-15 14:00:00,1993-06-16 14:00:00,1994-12-12 13:00:00,0.010960364912137241,0.10469176143392202,0.0890029377640845,-0.02683714220401323,1.8158561399424842,0.0168818805664502,0.1025570206068401,-0.5816026322889032,0.9592981338500977,0.0003352165222167969
2,CBA.AX,arima,regression,504,252,1991-12-05 13:00:00,1994-12-12 13:00:00,1994-12-13 13:00:00,1996-07-04 14:00:00,0.009874050550210216,0.09936825725658177,0.07933721514856273,-0.06885623607885316,0.9237023364647049,0.013809108918143504,0.09361174151676904,-0.4948224243733037,7.16256308555603,0.00038623809814453125
3,CBA.AX,arima,regression,756,252,1991-12-05 13:00:00,1996-07-04 14:00:00,1996-07-07 14:00:00,1997-12-04 13:00:00,0.023965779143229997,0.15480884710903958,0.12476610855817812,-0.07338156055061562,1.4285788347074346,0.022521214252732624,0.12353886999260145,-0.00868225295824332,8.623211145401001,0.0004565715789794922
4,CBA.AX,arima,regression,1008,252,1991-12-05 13:00:00,1997-12-04 13:00:00,1997-12-07 13:00:00,1999-04-06 14:00:00,0.012410324575068724,0.11140163632132485,0.09251671473555954,-0.026740671628093793,1.4817314138392323,0.017336333868123673,0.10439758092973063,-0.43428312222265975,7.163473606109619,0.0003070831298828125
5,CBA.AX,arima,regression,1260,252,1991-12-05 13:00:00,1999-04-06 14:00:00,1999-04-07 14:00:00,2000-03-23 13:00:00,0.002666612533769261,0.051639253807246877,0.03916605004623709,-0.11373914598522328,0.18928111857576027,0.004117569438448703,0.05534070801025725,-0.7197467617954003,9.41795301437378,0.0006418228149414062
6,CBA.AX,arima,regression,1512,252,1991-12-05 13:00:00,2000-03-23 13:00:00,2000-03-26 14:00:00,2001-03-12 13:00:00,0.002270602953155023,0.04765084420191339,0.03900518849795723,-0.1632637872058489,0.2749229009945461,0.011330688168728058,0.09698842683320269,-4.8048806870829495,13.00760269165039,0.0003006458282470703
7,CBA.AX,arima,regression,1764,252,1991-12-05 13:00:00,2001-03-12 13:00:00,2001-03-13 13:00:00,2002-02-27 13:00:00,0.003568826997489097,0.059739660172192954,0.046771405594194015,-0.09464768805424129,0.2251259485343184,0.003501128924700273,0.046368048273763285,-0.07388301133661024,6.975444078445435,0.0003161430358886719
8,CBA.AX,arima,regression,2016,252,1991-12-05 13:00:00,2002-02-27 13:00:00,2002-02-28 13:00:00,2003-02-16 13:00:00,0.003914103507424818,0.06256279651218301,0.05578435425943462,-0.04035267958776423,0.3530819874428198,0.0037970356726498436,0.05295519179694354,-0.009236528629913865,12.574326276779175,0.0009725093841552734
