Asset,Model,Task,MSE,RMSE,MAE,R²,MAPE,Baseline_MSE,Fit_Time_s,Pred_Time_s
AAPL,arima,regression,0.000000 ± 0.000000,0.000000 ± 0.000000,0.000000 ± 0.000000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000
AAPL,enhanced_arima,regression,0.000000 ± 0.000000,0.000000 ± 0.000000,0.000000 ± 0.000000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.000000 ± 0.000000,0.000 ± 0.000,0.000 ± 0.000
