fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,mae,r2,fit_time,pred_time
1,CBA.AX,xgboost,regression,252,252,1991-12-05 13:00:00,1993-06-15 14:00:00,1993-06-16 14:00:00,1994-12-12 13:00:00,0.010960364912137241,0.0890029377640845,-0.02683714220401323,0.0,0.0
2,CBA.AX,xgboost,regression,504,252,1991-12-05 13:00:00,1994-12-12 13:00:00,1994-12-13 13:00:00,1996-07-04 14:00:00,0.009874050550210216,0.07933721514856273,-0.06885623607885316,0.0,0.0
3,CBA.AX,xgboost,regression,756,252,1991-12-05 13:00:00,1996-07-04 14:00:00,1996-07-07 14:00:00,1997-12-04 13:00:00,0.023965779143229997,0.12476610855817812,-0.07338156055061562,0.0,0.0
4,CBA.AX,xgboost,regression,1008,252,1991-12-05 13:00:00,1997-12-04 13:00:00,1997-12-07 13:00:00,1999-04-06 14:00:00,0.012410324575068724,0.09251671473555954,-0.026740671628093793,0.0,0.0
5,CBA.AX,xgboost,regression,1260,252,1991-12-05 13:00:00,1999-04-06 14:00:00,1999-04-07 14:00:00,2000-03-23 13:00:00,0.002666612533769261,0.03916605004623709,-0.11373914598522328,0.0,0.0
6,CBA.AX,xgboost,regression,1512,252,1991-12-05 13:00:00,2000-03-23 13:00:00,2000-03-26 14:00:00,2001-03-12 13:00:00,0.002270602953155023,0.03900518849795723,-0.1632637872058489,0.0,0.0
7,CBA.AX,xgboost,regression,1764,252,1991-12-05 13:00:00,2001-03-12 13:00:00,2001-03-13 13:00:00,2002-02-27 13:00:00,0.003568826997489097,0.046771405594194015,-0.09464768805424129,0.0,0.0
8,CBA.AX,xgboost,regression,2016,252,1991-12-05 13:00:00,2002-02-27 13:00:00,2002-02-28 13:00:00,2003-02-16 13:00:00,0.003914103507424818,0.05578435425943462,-0.04035267958776423,0.0,0.0
