fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,optimal_threshold,f1_optimized,last_sign_accuracy,last_sign_f1,logloss,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy,baseline_f1,baseline_precision,baseline_recall,confusion_matrix
1,^GSPC,xgboost,classification,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.6468253968253969,0.526880800954875,0.7740826425036952,0.6468253968253969,0.526595744680851,0.526595744680851,0.1,0.5679720133667502,0.373015873015873,0.20267914487567668,0.942406743327915,8.619118600000547,0.0013738070001636515,0.373015873015873,0.373015873015873,0.20267914487567668,0.373015873015873,0.373015873015873,"[[158, 0], [89, 5]]"
2,^GSPC,xgboost,classification,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.623015873015873,0.4783055846625529,0.3881487780297304,0.623015873015873,0.5,0.5,0.1,0.7436049113067746,0.623015873015873,0.4783055846625529,0.8425098896339724,3.185997326000688,0.015450006999344623,0.623015873015873,0.623015873015873,0.4783055846625529,0.623015873015873,0.623015873015873,"[[157, 0], [95, 0]]"
3,^GSPC,xgboost,classification,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.6706349206349206,0.6235958804998406,0.6163065752106848,0.6706349206349206,0.5287081339712919,0.5287081339712919,0.4,0.6284594212064895,0.6984126984126984,0.5743954902833408,0.680111279365217,8.48187275500004,0.015698578999945312,0.6984126984126984,0.6984126984126984,0.5743954902833408,0.6984126984126984,0.6984126984126984,"[[156, 20], [63, 13]]"
4,^GSPC,xgboost,classification,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.7301587301587301,0.7198353066554625,0.7323639851729739,0.7301587301587301,0.7002338877338877,0.7002338877338876,0.30000000000000004,0.746031746031746,0.5873015873015873,0.4346031746031746,0.5700779908232768,8.608809301000292,0.0015965819993652985,0.5873015873015873,0.5873015873015873,0.4346031746031746,0.5873015873015873,0.5873015873015873,"[[129, 19], [49, 55]]"
5,^GSPC,xgboost,classification,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.21825396825396826,0.1484291507431159,0.7462862500837185,0.21825396825396826,0.5085227272727273,0.5085227272727273,0.1,0.5208945914639579,0.8253968253968254,0.7464458247066943,1.9553412344139076,0.20300736799981678,0.001320237000072666,0.8253968253968254,0.8253968253968254,0.7464458247066943,0.8253968253968254,0.8253968253968254,"[[42, 2], [195, 13]]"
6,^GSPC,xgboost,classification,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.6309523809523809,0.628082340471721,0.6256921373200444,0.6309523809523809,0.5800281789362451,0.5800281789362453,0.30000000000000004,0.6510043478849775,0.6626984126984127,0.5282607872106679,0.6130061266289811,0.1964280639995195,0.0013046240001131082,0.6626984126984127,0.6626984126984127,0.5282607872106679,0.6626984126984127,0.6626984126984127,"[[36, 49], [44, 123]]"
7,^GSPC,xgboost,classification,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.6587301587301587,0.6250488048240856,0.6523072283100432,0.6587301587301587,0.5977421271538919,0.5977421271538919,0.6,0.6545250770523956,0.39285714285714285,0.2216117216117216,0.6930804518105084,0.198285608000333,0.0016967339997790987,0.39285714285714285,0.39285714285714285,0.2216117216117216,0.39285714285714285,0.39285714285714285,"[[31, 68], [18, 135]]"
8,^GSPC,xgboost,classification,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.7301587301587301,0.7301587301587301,0.7301587301587301,0.7301587301587301,0.7224489795918367,0.7224489795918367,0.30000000000000004,0.7470238095238095,0.5833333333333334,0.4298245614035088,0.5432654683268309,0.24399764600002527,0.0017281259997616871,0.5833333333333334,0.5833333333333334,0.4298245614035088,0.5833333333333334,0.5833333333333334,"[[71, 34], [34, 113]]"
