fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,BHP.AX,lstm,regression,252,252,1990-03-08 14:00:00,1991-07-16 14:00:00,1991-07-30 14:00:00,1993-01-05 13:00:00,3.290447884884566,1.8139591739850613,1.5820168108775283,-1.3938203841892642,1.254797702576539,1.458729827915882,1.0446927508545893,0.7526933806188558,-0.06123461585000256,8.601929034000023,0.25733335699987947
2,BHP.AX,lstm,regression,504,252,1990-03-08 14:00:00,1993-01-05 13:00:00,1993-01-06 13:00:00,1994-06-07 14:00:00,3.752786194070335,1.9372109317444848,1.5413396478168,-4.698532514732239,1.1910938842672578,0.938594372760494,0.6425570205083406,0.2887717083747842,-0.4252372170233236,9.24142984900027,0.23909832300068956
3,BHP.AX,lstm,regression,756,252,1990-03-08 14:00:00,1994-06-07 14:00:00,1994-06-08 14:00:00,1995-11-07 13:00:00,0.9966868314939442,0.9983420413335022,0.7700276131887688,-0.5746828534028667,0.4227560828481061,0.6391453237619608,0.5425403232573606,0.34106444254471013,-0.009796809146155994,9.838168761999441,0.24596574400038662
4,BHP.AX,lstm,regression,1008,252,1990-03-08 14:00:00,1995-11-07 13:00:00,1995-11-08 13:00:00,1997-04-06 14:00:00,2.3513287214568312,1.533404291586805,0.9884959202709734,-0.43288069832149323,0.34584195203535684,1.9156305632870385,0.8757577496568263,0.300989399845534,-0.1673697659543154,10.519323649999933,0.21990011500020046
5,BHP.AX,lstm,regression,1260,252,1990-03-08 14:00:00,1997-04-06 14:00:00,1997-04-07 14:00:00,1998-09-07 14:00:00,1.2672119831051836,1.1257051048588096,0.7520956642200892,-0.0679283536154891,0.36923090690917204,1.1931670255896265,0.7737100226517046,0.4398880752830047,-0.005527815562371252,10.837052157000471,0.23225875400021323
6,BHP.AX,lstm,regression,1512,252,1990-03-08 14:00:00,1998-09-07 14:00:00,1998-09-08 14:00:00,1999-10-06 14:00:00,0.8592669810004828,0.9269665479403681,0.8063993540195705,-14.864937383083598,0.7243478160415024,0.1774696442250112,0.36665703527979776,0.28111573724364775,-2.276682166640985,11.302116679000392,0.19608529299966904
7,BHP.AX,lstm,regression,1764,252,1990-03-08 14:00:00,1999-10-06 14:00:00,1999-10-07 14:00:00,2000-09-24 13:00:00,0.07976926310646627,0.2824345288849546,0.2341374915577979,-0.3167745424360462,0.17512173480993196,0.06264713202111692,0.2058965229715468,0.1598308980072638,-0.03413451985799276,11.926398577999862,0.18867332999980135
8,BHP.AX,lstm,regression,2016,252,1990-03-08 14:00:00,2000-09-24 13:00:00,2000-09-25 13:00:00,2001-09-11 14:00:00,0.07747220059797223,0.2783382844632988,0.2188706040059007,-0.03517494724992898,0.17815832684118718,0.12154428513679305,0.2673818859457326,0.24558041840479758,-0.6240612501498586,12.284129341999687,0.1819278300008591
