MSE,RMSE,MAE,R2,asset,model_type,task,stored_at,Accuracy,F1,Precision,Recall
0.049928911771,0.223447783096,0.141472624819,-0.257175816746,AAPL,arima,regression,2025-08-16T19:57:38.609838,,,,
,,,,AAPL,lstm,regression,2025-08-16T19:57:49.341562,,,,
,,,,AAPL,stockmixer,regression,2025-08-16T19:57:52.629407,,,,
0.048250970628,0.219661035752,0.147706591747,-0.214926407492,AAPL,xgboost,regression,2025-08-16T19:57:55.859218,,,,
,,,,AAPL,lstm,classification,2025-08-16T19:57:59.022769,,,,
,,,,AAPL,stockmixer,classification,2025-08-16T19:58:07.667679,,,,
,,,,AAPL,xgboost,classification,2025-08-16T19:58:13.761692,0.515873015873,0.551725707005,0.644628595448,0.515873015873
0.014428402299,0.120118284616,0.097202101255,-0.005979667162,MSFT,arima,regression,2025-08-16T19:58:26.994728,,,,
,,,,MSFT,lstm,regression,2025-08-16T19:58:31.713084,,,,
,,,,MSFT,stockmixer,regression,2025-08-16T19:58:36.244791,,,,
0.016745688427,0.129405132922,0.105166323233,-0.16754590845,MSFT,xgboost,regression,2025-08-16T19:58:38.796011,,,,
,,,,MSFT,lstm,classification,2025-08-16T19:58:41.646995,,,,
,,,,MSFT,stockmixer,classification,2025-08-16T19:58:48.839820,,,,
,,,,MSFT,xgboost,classification,2025-08-16T19:58:52.633812,0.634920634921,0.607443609023,0.782798833819,0.634920634921
0.027400935413,0.165532279066,0.103491595113,-0.546101938837,^GSPC,arima,regression,2025-08-16T19:59:08.188809,,,,
,,,,^GSPC,lstm,regression,2025-08-16T19:59:18.627905,,,,
,,,,^GSPC,stockmixer,regression,2025-08-16T19:59:22.953997,,,,
0.025273808451,0.158977383459,0.127537131454,-0.426078477247,^GSPC,xgboost,regression,2025-08-16T19:59:25.348487,,,,
,,,,^GSPC,lstm,classification,2025-08-16T19:59:29.627327,,,,
,,,,^GSPC,stockmixer,classification,2025-08-16T19:59:32.894154,,,,
,,,,^GSPC,xgboost,classification,2025-08-16T19:59:37.047832,0.444444444444,0.398830409357,0.508034188034,0.444444444444
0.005413207679,0.07357450427,0.046743151449,-0.057119997454,IOZ.AX,arima,regression,2025-08-16T19:59:50.561908,,,,
,,,,IOZ.AX,lstm,regression,2025-08-16T19:59:55.590719,,,,
,,,,IOZ.AX,stockmixer,regression,2025-08-16T19:59:58.457144,,,,
0.005855707015,0.076522591535,0.057914016345,-0.143533622304,IOZ.AX,xgboost,regression,2025-08-16T20:00:00.417294,,,,
,,,,IOZ.AX,lstm,classification,2025-08-16T20:00:03.403869,,,,
,,,,IOZ.AX,stockmixer,classification,2025-08-16T20:00:06.798901,,,,
,,,,IOZ.AX,xgboost,classification,2025-08-16T20:00:10.977521,0.52380952381,0.486873661396,0.546967311631,0.52380952381
0.004679521259,0.068407026383,0.056519286903,-0.059170536381,CBA.AX,arima,regression,2025-08-16T20:00:19.417774,,,,
,,,,CBA.AX,lstm,regression,2025-08-16T20:00:23.268422,,,,
,,,,CBA.AX,stockmixer,regression,2025-08-16T20:00:26.638620,,,,
0.005850496861,0.07648854072,0.057793314836,-0.324211079796,CBA.AX,xgboost,regression,2025-08-16T20:00:29.178397,,,,
,,,,CBA.AX,lstm,classification,2025-08-16T20:00:32.934145,,,,
,,,,CBA.AX,stockmixer,classification,2025-08-16T20:00:37.577582,,,,
,,,,CBA.AX,xgboost,classification,2025-08-16T20:00:42.416814,0.642857142857,0.546094299789,0.53781512605,0.642857142857
0.009464194731,0.097284092899,0.066242550551,-0.475801989831,BHP.AX,arima,regression,2025-08-16T20:00:45.311125,,,,
,,,,BHP.AX,lstm,regression,2025-08-16T20:00:50.417904,,,,
,,,,BHP.AX,stockmixer,regression,2025-08-16T20:00:54.760009,,,,
0.00944854126,0.097203607239,0.077372482393,-0.473361061224,BHP.AX,xgboost,regression,2025-08-16T20:00:57.187358,,,,
,,,,BHP.AX,lstm,classification,2025-08-16T20:01:07.976592,,,,
,,,,BHP.AX,stockmixer,classification,2025-08-16T20:01:12.112452,,,,
,,,,BHP.AX,xgboost,classification,2025-08-16T20:01:16.677946,0.507936507937,0.52438630491,0.545953360768,0.507936507937
