fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,^GSPC,enhanced_arima,regression,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.14846114345655864,0.38530655776479933,0.3172301919479569,-1.8517220357418296,0.1401317569666307,0.15010450888276708,0.31947172662437423,0.1411628868298995,-1.8832886887363451,83.65057513400097,0.07404610899902764
2,^GSPC,enhanced_arima,regression,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.2447192717173574,0.4946910871618342,0.44444178356105246,-4.128589917707437,0.18063582934021766,0.25196729513377414,0.4520579042824632,0.1838334698623089,-4.280486985542647,85.2458302619998,0.03858799500085297
3,^GSPC,enhanced_arima,regression,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.1326186715008834,0.36416846582438106,0.3027820591204256,-1.1374234928618217,0.11445572373288646,0.13357800497318312,0.3039780752890328,0.11489502419024729,-1.1528851309400632,85.25241029099925,0.03073174200108042
4,^GSPC,enhanced_arima,regression,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.2932171224583622,0.5414952654071522,0.47887246051171084,-3.347572487429842,0.18613394104127592,0.2942332219542034,0.4798896289642306,0.18654667626311067,-3.3626383409362743,84.22217496300073,0.07850416300061624
5,^GSPC,enhanced_arima,regression,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.2876320970195249,0.5363134316978505,0.4457594759487911,-1.6584480170134102,0.20510215498493875,0.28611233966536725,0.4444702773681127,0.2045197534827862,-1.6444016154942656,84.08915272299782,0.06329327400089824
6,^GSPC,enhanced_arima,regression,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.06768632424246043,0.26016595519487257,0.21985091595018366,-0.004369567564810328,0.10093952051232474,0.0676921359715792,0.2196082623590688,0.10078899962580999,-0.004455805426345272,84.72500776599918,0.04739477999828523
7,^GSPC,enhanced_arima,regression,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.11195958870074992,0.33460362924025483,0.24750725541292973,-0.09291966151356901,0.1483264052187009,0.11204924374707713,0.24766005216234335,0.14837567985130268,-0.09379485017777589,85.31134810900039,0.005433285001345212
8,^GSPC,enhanced_arima,regression,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.6186585257574303,0.7865484891330161,0.7050311231434184,-4.088755312964413,0.5069616191412956,0.620349534931887,0.7062406750824951,0.5077295534998238,-4.102664653193986,85.29645819600046,0.008144164999976056
