fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,mae,r2,fit_time,pred_time
1,^GSPC,xgboost,classification,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.38095238095238093,0.38095238095238093,-0.6153846153846156,0.0,0.0
2,^GSPC,xgboost,classification,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.373015873015873,0.373015873015873,-0.5949367088607596,0.0,0.0
3,^GSPC,xgboost,classification,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.4642857142857143,0.4642857142857143,-0.8666666666666671,0.0,0.0
4,^GSPC,xgboost,classification,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.5198412698412699,0.5198412698412699,-1.0826446280991742,0.0,0.0
5,^GSPC,xgboost,classification,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.0,0.0,1.0,0.0,0.0
6,^GSPC,xgboost,classification,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.2222222222222222,0.2222222222222222,-0.2857142857142856,0.0,0.0
7,^GSPC,xgboost,classification,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.18253968253968253,0.18253968253968253,-0.22330097087378675,0.0,0.0
8,^GSPC,xgboost,classification,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.2857142857142857,0.2857142857142857,-0.3999999999999999,0.0,0.0
