MSE,MSE_std,RMSE,RMSE_std,MAE,MAE_std,R2,R2_std,MAPE,MAPE_std,sMAPE,sMAPE_std,Baseline MSE,Baseline MSE_std,Baseline MAE,Baseline MAE_std,Baseline R2,Baseline R2_std,Fit Time,Fit Time_std,Prediction Time,Prediction Time_std,total_samples,n_splits,asset,model_type,task,stored_at,Accuracy,Accuracy_std,F1,F1_std,Precision,Precision_std,Recall,Recall_std,Baseline Accuracy,Baseline Accuracy_std,Baseline F1,Baseline F1_std,LogLoss,LogLoss_std
0.17841392459877897,0.14572562859745034,0.39818924413403256,0.15065286666371935,0.32606236368230623,0.14535680332780665,-0.9646205327247146,1.799289184030119,2.1066252807680437,3.9510470179217387,0.4544649921743652,0.2636141510266193,0.1989495374909526,0.1254183739044795,0.36303532444931463,0.12617871230162409,-1.3727141948266772,1.7716393415015614,407.02876048962526,38.905808422810296,0.00834347349973541,0.002160017958783259,8921,8,AAPL,arima,regression,2025-09-10T19:42:12.995104,,,,,,,,,,,,,,
0.19888341615773203,0.12464216084728354,0.4316156373341594,0.11995883944734374,0.36302625591239135,0.12562620987672807,-1.369706988510014,1.7596312663415115,2.097634232863821,4.076692199341658,0.5066260935465349,0.2362010737694601,0.1989495374909526,0.1254183739044795,0.36303532444931463,0.12617871230162409,-1.3727141948266772,1.7716393415015614,83.24834953912523,0.6669074700710892,0.03868742537497383,0.02266870222583086,8921,8,AAPL,enhanced_arima,regression,2025-09-10T19:43:32.050176,,,,,,,,,,,,,,
0.1456565376850523,0.0477177406541181,0.37714025383182703,0.06253471378561196,0.3011784529325488,0.051971578324411315,-0.6408986743675102,0.6431239935069132,1.9113382847344806,3.583945423630001,0.3998264751198703,0.12785433812181632,0.1989495374909526,0.1254183739044795,0.36303532444931463,0.12617871230162409,-1.3727141948266772,1.7716393415015614,8.30051007149973,0.7859335571792619,0.2023064218753916,0.0122555034523723,8921,8,AAPL,lstm,regression,2025-09-10T19:45:34.660252,,,,,,,,,,,,,,
0.16998836457509967,0.048947474521069845,0.40855525852105967,0.05924250703569217,0.33235337438282947,0.05889119165549351,-0.948173916639508,0.7941110249060566,1.4110864389448934,2.262889939500028,0.44778554184935193,0.11801240432956359,0.1989495374909526,0.1254183739044795,0.36303532444931463,0.12617871230162409,-1.3727141948266772,1.7716393415015614,7.648903127500489,2.57144835671376,0.2230335362498863,0.027350687565143805,8921,8,AAPL,stockmixer,regression,2025-09-10T19:45:47.725994,,,,,,,,,,,,,,
0.14724502792984978,0.06218870041519032,0.3761037828366987,0.08135265359286169,0.30052219242994216,0.06095324736975225,-0.601124759080699,0.565033322996594,2.2771708216421764,4.525978442274191,0.39161160541306894,0.1364518669933212,0.1989495374909526,0.1254183739044795,0.36303532444931463,0.12617871230162409,-1.3727141948266772,1.7716393415015614,48.805494289375474,6.176767347582124,0.02463212624957123,0.017638490260827158,8921,8,AAPL,xgboost,regression,2025-09-10T19:46:38.624599,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8.637105487750205,1.4284729588223972,0.26890898887518233,0.033571818940166025,8921,8,AAPL,lstm,classification,2025-09-10T19:48:20.275422,0.6324404761904763,0.07502106807955157,0.6260121342453553,0.08486498871831215,0.6501160962391763,0.08288022158463984,0.6324404761904763,0.07502106807955157,0.5694444444444444,0.10618323936714008,0.4183488152377287,0.12592188979690466,,
,,,,,,,,,,,,,,,,,,5.723886151750321,0.8095647328702611,0.2390118122500553,0.03791644056418021,8921,8,AAPL,stockmixer,classification,2025-09-10T19:48:25.804999,0.6195436507936508,0.06556417163212586,0.6178732925936916,0.07233989686501523,0.6434562335667563,0.08489324956158095,0.6195436507936508,0.06556417163212586,0.5694444444444444,0.10618323936714008,0.4183488152377287,0.12592188979690466,,
,,,,,,,,,,,,,,,,,,77.60641040737528,7.185642055811191,0.03233492187519005,0.021146912454241225,8921,8,AAPL,xgboost,classification,2025-09-10T19:49:44.079619,0.6423611111111112,0.09398833967092464,0.6420660217722707,0.09270371477794062,0.6695583848723803,0.09530854133075746,0.6423611111111112,0.09398833967092464,0.5694444444444444,0.10618323936714008,0.4183488152377287,0.12592188979690466,0.7310554115118932,0.12126416196364542
0.16473266814112203,0.1680695128600164,0.3722897823652407,0.17281860378546807,0.3218821125431287,0.16790665294267146,-1.5401817969203802,1.7834485511762737,0.2818077112894511,0.13555818505164016,0.3123833284269736,0.21306503858886847,0.148537185445691,0.13416196048643542,0.3101860693905709,0.14257399685505476,-1.3354820081915215,1.416848220238588,389.6354786884997,30.92865073391887,0.010343177874801768,0.004077237461388809,8921,8,MSFT,arima,regression,2025-09-10T20:04:40.002068,,,,,,,,,,,,,,
0.14725622308737882,0.1339364375476442,0.3566085071999086,0.1515127365887353,0.3068457335369747,0.14452775014288838,-1.3058823089858353,1.4253746013187876,0.2717304519688088,0.11742449794380197,0.2910917945830934,0.17331669276644163,0.148537185445691,0.13416196048643542,0.3101860693905709,0.14257399685505476,-1.3354820081915215,1.416848220238588,82.99534308675084,0.6319389283915323,0.04175539962534458,0.02858180003470782,8921,8,MSFT,enhanced_arima,regression,2025-09-10T20:06:00.315535,,,,,,,,,,,,,,
