fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,mae,r2,fit_time,pred_time
1,CBA.AX,xgboost,classification,252,252,1991-12-05 13:00:00,1993-06-15 14:00:00,1993-06-16 14:00:00,1994-12-12 13:00:00,0.4365079365079365,0.4365079365079365,-0.7746478873239435,0.0,0.0
2,CBA.AX,xgboost,classification,504,252,1991-12-05 13:00:00,1994-12-12 13:00:00,1994-12-13 13:00:00,1996-07-04 14:00:00,0.7857142857142857,0.7857142857142857,-3.666666666666666,0.0,0.0
3,CBA.AX,xgboost,classification,756,252,1991-12-05 13:00:00,1996-07-04 14:00:00,1996-07-07 14:00:00,1997-12-04 13:00:00,0.0,0.0,1.0,0.0,0.0
4,CBA.AX,xgboost,classification,1008,252,1991-12-05 13:00:00,1997-12-04 13:00:00,1997-12-07 13:00:00,1999-04-06 14:00:00,0.023809523809523808,0.023809523809523808,-0.024390243902439046,0.0,0.0
5,CBA.AX,xgboost,classification,1260,252,1991-12-05 13:00:00,1999-04-06 14:00:00,1999-04-07 14:00:00,2000-03-23 13:00:00,0.5595238095238095,0.5595238095238095,-1.2702702702702702,0.0,0.0
6,CBA.AX,xgboost,classification,1512,252,1991-12-05 13:00:00,2000-03-23 13:00:00,2000-03-26 14:00:00,2001-03-12 13:00:00,0.21825396825396826,0.21825396825396826,-0.2791878172588831,0.0,0.0
7,CBA.AX,xgboost,classification,1764,252,1991-12-05 13:00:00,2001-03-12 13:00:00,2001-03-13 13:00:00,2002-02-27 13:00:00,0.3888888888888889,0.3888888888888889,-0.6363636363636365,0.0,0.0
8,CBA.AX,xgboost,classification,2016,252,1991-12-05 13:00:00,2002-02-27 13:00:00,2002-02-28 13:00:00,2003-02-16 13:00:00,0.7896825396825397,0.7896825396825397,-3.7547169811320753,0.0,0.0
