fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,BHP.AX,xgboost,regression,252,252,1990-03-08 14:00:00,1991-07-16 14:00:00,1991-07-30 14:00:00,1993-01-05 13:00:00,3.0828313492982526,1.7557993476756542,1.5443007309088241,-1.2427781211391968,1.258750321441442,1.458729827915882,1.0446927508545893,0.7526933806188558,-0.06123461585000256,83.14568268100265,0.06380347699814592
2,BHP.AX,xgboost,regression,504,252,1990-03-08 14:00:00,1993-01-05 13:00:00,1993-01-06 13:00:00,1994-06-07 14:00:00,3.9805420355443535,1.9951295786350203,1.7540144258664576,-5.044375310175963,1.365450049174315,0.938594372760494,0.6425570205083406,0.2887717083747842,-0.4252372170233236,93.27491217200077,0.04066533599689137
3,BHP.AX,xgboost,regression,756,252,1990-03-08 14:00:00,1994-06-07 14:00:00,1994-06-08 14:00:00,1995-11-07 13:00:00,0.5613351567598646,0.7492230353905736,0.5510881817487755,0.11313682650241808,0.3756875449056683,0.6391453237619608,0.5425403232573606,0.34106444254471013,-0.009796809146155994,101.02745275599955,0.0015593719981552567
4,BHP.AX,xgboost,regression,1008,252,1990-03-08 14:00:00,1995-11-07 13:00:00,1995-11-08 13:00:00,1997-04-06 14:00:00,2.0327292915041673,1.4257381567118723,0.9011487727376255,-0.23872878348733262,0.32071669388046903,1.9156305632870385,0.8757577496568263,0.300989399845534,-0.1673697659543154,100.60993465099818,0.015722521999123273
5,BHP.AX,xgboost,regression,1260,252,1990-03-08 14:00:00,1997-04-06 14:00:00,1997-04-07 14:00:00,1998-09-07 14:00:00,1.1526710314593667,1.0736251820162224,0.758634001754409,0.02859971867509259,0.4323957721843398,1.1931670255896265,0.7737100226517046,0.4398880752830047,-0.005527815562371252,101.0260134300006,0.0016300280003633816
6,BHP.AX,xgboost,regression,1512,252,1990-03-08 14:00:00,1998-09-07 14:00:00,1998-09-08 14:00:00,1999-10-06 14:00:00,0.5623625141024631,0.749908337133588,0.6687025790137762,-9.383089621855294,0.6130488719253167,0.1774696442250112,0.36665703527979776,0.28111573724364775,-2.276682166640985,100.99362514399763,0.0157728340018366
7,BHP.AX,xgboost,regression,1764,252,1990-03-08 14:00:00,1999-10-06 14:00:00,1999-10-07 14:00:00,2000-09-24 13:00:00,0.3125682561897582,0.5590780412337424,0.38267123982609597,-4.1596555677714155,0.325808593870241,0.06264713202111692,0.2058965229715468,0.1598308980072638,-0.03413451985799276,99.67755143799877,0.03553099999771803
8,BHP.AX,xgboost,regression,2016,252,1990-03-08 14:00:00,2000-09-24 13:00:00,2000-09-25 13:00:00,2001-09-11 14:00:00,0.10147529046750756,0.3185518646429613,0.2621539728972346,-0.3559015704482622,0.20867101981088954,0.12154428513679305,0.2673818859457326,0.24558041840479758,-0.6240612501498586,98.70875798499765,0.035823731999698794
