fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,logloss,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy
1,AAPL,xgboost,classification,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.40476190476190477,0.3926237161531279,0.3885890883547188,0.40476190476190477,0.39111393208505235,0.33966994604887335,1.2596726120289496,0.25041699409484863,0.003652334213256836,0.5436507936507936,0.5
2,AAPL,xgboost,classification,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.876984126984127,0.8794152707196186,0.901953601953602,0.876984126984127,0.8993827160493827,0.9720164609053498,0.39264125843706993,0.22757744789123535,0.001678466796875,0.35714285714285715,0.5
3,AAPL,xgboost,classification,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.6984126984126984,0.6871233341821578,0.7186013220495979,0.6984126984126984,0.6897727272727272,0.8596275252525252,0.5405492054813548,0.20328474044799805,0.0015497207641601562,0.5238095238095238,0.5
4,AAPL,xgboost,classification,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.5238095238095238,0.44228909367809066,0.46264361824134126,0.5238095238095238,0.4786275637339467,0.30240879177049396,1.1031204703695747,0.2994701862335205,0.0015285015106201172,0.5595238095238095,0.5
5,AAPL,xgboost,classification,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.38095238095238093,0.38469662058371734,0.5171650055370985,0.38095238095238093,0.44467703349282295,0.45454545454545453,1.0785667369694736,0.2275247573852539,0.0016090869903564453,0.30158730158730157,0.5
6,AAPL,xgboost,classification,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.30952380952380953,0.17077186853002072,0.7959321380374011,0.30952380952380953,0.5139664804469274,0.7003902961659141,2.018017845910749,0.20495104789733887,0.0012679100036621094,0.7103174603174603,0.5
7,AAPL,xgboost,classification,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.32142857142857145,0.32445563166826935,0.32826313641927735,0.32142857142857145,0.30970535021969503,0.30414835874903073,1.1765039492588252,0.17393922805786133,0.0010666847229003906,0.42063492063492064,0.5
8,AAPL,xgboost,classification,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.5119047619047619,0.5271867398245901,0.547183029590437,0.5119047619047619,0.43767022021632557,0.4162321998288071,0.7927113490056903,0.15815305709838867,0.0017242431640625,0.28174603174603174,0.5
