fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,AAPL,xgboost,regression,63,63,2020-03-13 04:00:00,2020-06-11 04:00:00,2020-06-12 04:00:00,2020-09-10 04:00:00,0.2655722622146886,0.5153370374955487,0.4807405722357001,-6.311674320824801,0.6751553659373292,0.23814155490552108,0.4552225164260109,0.6397356452267945,-5.556458408731068,0.2164088000135962,0.0010962999949697405
2,AAPL,xgboost,regression,126,63,2020-03-13 04:00:00,2020-09-10 04:00:00,2020-09-11 04:00:00,2020-12-09 05:00:00,0.13626678741716966,0.3691433155526044,0.3126407180515035,-2.250555028208968,0.2566276662606103,0.06842552571156511,0.2096404250831224,0.17173620133917758,-0.6322461318366754,0.22634590000961907,0.0010973999742418528
3,AAPL,xgboost,regression,189,63,2020-03-13 04:00:00,2020-12-09 05:00:00,2020-12-10 05:00:00,2021-03-12 05:00:00,0.10767743067991233,0.32814239390836464,0.2518588225779389,-2.317534432280525,0.1949538910700268,0.0445483884171501,0.16716118549685843,0.13268588796664363,-0.37253286545962383,0.04740789998322725,0.0009834000084083527
