fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,optimal_threshold,f1_optimized,last_sign_accuracy,last_sign_f1,logloss,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy,baseline_f1,baseline_precision,baseline_recall,confusion_matrix
1,CBA.AX,stockmixer,classification,252,252,1991-12-05 13:00:00,1993-06-15 14:00:00,1993-06-16 14:00:00,1994-12-12 13:00:00,0.6507936507936508,0.5414652014652015,0.7767369242779079,0.6507936507936508,0.5416666666666666,0.5416666666666666,0.1,0.5414652014652015,0.38095238095238093,0.21018062397372742,,4.063028922999365,0.24536903399985022,0.38095238095238093,0.38095238095238093,0.21018062397372742,0.38095238095238093,0.38095238095238093,"[[156, 0], [88, 8]]"
2,CBA.AX,stockmixer,classification,504,252,1991-12-05 13:00:00,1994-12-12 13:00:00,1994-12-13 13:00:00,1996-07-04 14:00:00,0.6388888888888888,0.6511025202774229,0.7151248782060717,0.6388888888888888,0.6686046511627908,0.6686046511627908,0.1,0.6511025202774229,0.6825396825396826,0.553758610362384,,3.6013382540004386,0.1976408230002562,0.6825396825396826,0.6825396825396826,0.553758610362384,0.6825396825396826,0.6825396825396826,"[[60, 20], [71, 101]]"
3,CBA.AX,stockmixer,classification,756,252,1991-12-05 13:00:00,1996-07-04 14:00:00,1996-07-07 14:00:00,1997-12-04 13:00:00,0.4007936507936508,0.3871708126634526,0.6783461884984728,0.4007936507936508,0.5452101661779081,0.5452101661779081,0.1,0.3871708126634526,0.2619047619047619,0.1087151841868823,,3.9148757650000334,0.19563449299948843,0.2619047619047619,0.2619047619047619,0.1087151841868823,0.2619047619047619,0.2619047619047619,"[[56, 10], [141, 45]]"
4,CBA.AX,stockmixer,classification,1008,252,1991-12-05 13:00:00,1997-12-04 13:00:00,1997-12-07 13:00:00,1999-04-06 14:00:00,0.753968253968254,0.728193499622071,0.714235901142922,0.753968253968254,0.5535223286242533,0.5535223286242533,0.1,0.728193499622071,0.7896825396825397,0.696881709076831,,4.2632454600006895,0.18839944299998024,0.7896825396825397,0.7896825396825397,0.696881709076831,0.7896825396825397,0.7896825396825397,"[[11, 42], [20, 179]]"
5,CBA.AX,stockmixer,classification,1260,252,1991-12-05 13:00:00,1999-04-06 14:00:00,1999-04-07 14:00:00,2000-03-23 13:00:00,0.2619047619047619,0.1087151841868823,0.06859410430839004,0.2619047619047619,0.5,0.5,0.1,0.1087151841868823,0.2619047619047619,0.1087151841868823,,3.8585931980005626,0.1929849469997862,0.2619047619047619,0.2619047619047619,0.1087151841868823,0.2619047619047619,0.2619047619047619,"[[0, 186], [0, 66]]"
6,CBA.AX,stockmixer,classification,1512,252,1991-12-05 13:00:00,2000-03-23 13:00:00,2000-03-26 14:00:00,2001-03-12 13:00:00,0.5555555555555556,0.5494533435036868,0.5667735042735044,0.5555555555555556,0.5613636363636364,0.5613636363636364,0.1,0.5494533435036868,0.47619047619047616,0.30721966205837176,,5.667426254999555,0.22702760299944202,0.47619047619047616,0.47619047619047616,0.30721966205837176,0.47619047619047616,0.47619047619047616,"[[82, 38], [74, 58]]"
7,CBA.AX,stockmixer,classification,1764,252,1991-12-05 13:00:00,2001-03-12 13:00:00,2001-03-13 13:00:00,2002-02-27 13:00:00,0.5912698412698413,0.5930316370120586,0.6030079665325567,0.5912698412698413,0.5951433887213704,0.5951433887213704,0.1,0.5930316370120586,0.5674603174603174,0.4108700020092425,,6.3134893360002025,0.2059470730000612,0.5674603174603174,0.5674603174603174,0.4108700020092425,0.5674603174603174,0.5674603174603174,"[[81, 62], [41, 68]]"
8,CBA.AX,stockmixer,classification,2016,252,1991-12-05 13:00:00,2002-02-27 13:00:00,2002-02-28 13:00:00,2003-02-16 13:00:00,0.5198412698412699,0.5536250311497853,0.6246456916099773,0.5198412698412699,0.4879838640460046,0.4879838640460047,0.1,0.5536250311497853,0.7579365079365079,0.6535705328030385,,6.535230061999755,0.19465091799975198,0.7579365079365079,0.7579365079365079,0.6535705328030385,0.7579365079365079,0.7579365079365079,"[[105, 86], [35, 26]]"
