MSE,RMSE,MAE,R2,asset,model_type,task,stored_at,Accuracy,F1,Precision,Recall
0.049928911771,0.223447783096,0.141472624819,-0.257175816746,AAPL,arima,regression,2025-08-16T19:29:26.237353,,,,
,,,,AAPL,lstm,regression,2025-08-16T19:29:27.855941,,,,
,,,,AAPL,stockmixer,regression,2025-08-16T19:29:28.569574,,,,
0.048250970628,0.219661035752,0.147706591747,-0.214926407492,AAPL,xgboost,regression,2025-08-16T19:29:30.973270,,,,
,,,,AAPL,lstm,classification,2025-08-16T19:29:31.188081,,,,
,,,,AAPL,stockmixer,classification,2025-08-16T19:29:31.778174,,,,
,,,,AAPL,xgboost,classification,2025-08-16T19:29:34.333603,0.571428571429,0.600083056478,0.653383458647,0.571428571429
0.014428402299,0.120118284616,0.097202101255,-0.005979667162,MSFT,arima,regression,2025-08-16T19:29:40.349253,,,,
,,,,MSFT,lstm,regression,2025-08-16T19:29:40.636712,,,,
,,,,MSFT,stockmixer,regression,2025-08-16T19:29:41.254047,,,,
0.016745688427,0.129405132922,0.105166323233,-0.16754590845,MSFT,xgboost,regression,2025-08-16T19:29:43.434990,,,,
,,,,MSFT,lstm,classification,2025-08-16T19:29:43.637602,,,,
,,,,MSFT,stockmixer,classification,2025-08-16T19:29:44.356723,,,,
,,,,MSFT,xgboost,classification,2025-08-16T19:29:48.206144,0.730158730159,0.727705627706,0.781135531136,0.730158730159
0.027400935413,0.165532279066,0.103491595113,-0.546101938837,^GSPC,arima,regression,2025-08-16T19:29:56.666881,,,,
,,,,^GSPC,lstm,regression,2025-08-16T19:29:57.018120,,,,
,,,,^GSPC,stockmixer,regression,2025-08-16T19:29:57.622634,,,,
0.025273808451,0.158977383459,0.127537131454,-0.426078477247,^GSPC,xgboost,regression,2025-08-16T19:29:59.527791,,,,
,,,,^GSPC,lstm,classification,2025-08-16T19:29:59.714332,,,,
,,,,^GSPC,stockmixer,classification,2025-08-16T19:30:00.299503,,,,
,,,,^GSPC,xgboost,classification,2025-08-16T19:30:04.260406,0.595238095238,0.555421476871,0.795654184004,0.595238095238
0.005413207679,0.07357450427,0.046743151449,-0.057119997454,IOZ.AX,arima,regression,2025-08-16T19:30:07.512470,,,,
,,,,IOZ.AX,lstm,regression,2025-08-16T19:30:07.903920,,,,
,,,,IOZ.AX,stockmixer,regression,2025-08-16T19:30:08.718585,,,,
0.005855707015,0.076522591535,0.057914016345,-0.143533622304,IOZ.AX,xgboost,regression,2025-08-16T19:30:10.485673,,,,
,,,,IOZ.AX,lstm,classification,2025-08-16T19:30:10.692471,,,,
,,,,IOZ.AX,stockmixer,classification,2025-08-16T19:30:11.348214,,,,
,,,,IOZ.AX,xgboost,classification,2025-08-16T19:30:15.200298,0.460317460317,0.361065498997,0.425481106897,0.460317460317
0.004679521259,0.068407026383,0.056519286903,-0.059170536381,CBA.AX,arima,regression,2025-08-16T19:30:21.167917,,,,
,,,,CBA.AX,lstm,regression,2025-08-16T19:30:21.517409,,,,
,,,,CBA.AX,stockmixer,regression,2025-08-16T19:30:22.192797,,,,
0.005850496861,0.07648854072,0.057793314836,-0.324211079796,CBA.AX,xgboost,regression,2025-08-16T19:30:24.514495,,,,
,,,,CBA.AX,lstm,classification,2025-08-16T19:30:24.753641,,,,
,,,,CBA.AX,stockmixer,classification,2025-08-16T19:30:25.432941,,,,
,,,,CBA.AX,xgboost,classification,2025-08-16T19:30:29.969422,0.65873015873,0.529505582137,0.442666666667,0.65873015873
0.009464194731,0.097284092899,0.066242550551,-0.475801989831,BHP.AX,arima,regression,2025-08-16T19:30:34.495297,,,,
,,,,BHP.AX,lstm,regression,2025-08-16T19:30:34.903039,,,,
,,,,BHP.AX,stockmixer,regression,2025-08-16T19:30:33.279919,,,,
0.00944854126,0.097203607239,0.077372482393,-0.473361061224,BHP.AX,xgboost,regression,2025-08-16T19:30:35.709004,,,,
,,,,BHP.AX,lstm,classification,2025-08-16T19:30:35.981016,,,,
,,,,BHP.AX,stockmixer,classification,2025-08-16T19:30:36.864810,,,,
,,,,BHP.AX,xgboost,classification,2025-08-16T19:30:41.026577,0.595238095238,0.61601406641,0.674104124408,0.595238095238
