fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,AAPL,stockmixer,regression,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.18596753440983133,0.43123953252204433,0.34892771074594875,-1.3869179354001293,0.37029800721808015,0.4946319980010833,0.6517669386591263,0.6660029710221931,-5.348667207952782,9.514842343000055,0.2824022069999046
2,AAPL,stockmixer,regression,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.14875502550100575,0.3856877305554401,0.3229477508562755,-1.82824605725677,0.29046775568815814,0.17344250650466286,0.3537986092261633,0.29224872707912325,-2.2976236166165074,6.762376957000015,0.283177102000991
3,AAPL,stockmixer,regression,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.29808786813226,0.5459742376085707,0.4508176409229855,-1.0713806559000911,7.853776714094319,0.184152156551556,0.32547717816717076,12.139571055373304,-0.2796536041980775,5.743763423999553,0.3012528660001408
4,AAPL,stockmixer,regression,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.1319684029190851,0.36327455583770946,0.2628580813825085,-0.5736976174141142,0.27227799075870973,0.14850297990603953,0.33677280355463757,0.4603861835861965,-0.770869242089026,8.535832303999996,0.27932296200015116
5,AAPL,stockmixer,regression,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.1196877928683056,0.3459592358476727,0.28492523179186974,-0.787289696280097,0.3205924602257568,0.14131367285834287,0.30485730070418854,0.29405652686385364,-1.1102274959744878,9.092029588000514,0.2581948730003205
6,AAPL,stockmixer,regression,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.12356779893520799,0.35152211727743105,0.2892070110995951,-0.4046126185839376,0.9956122135671288,0.08926664707018696,0.2236749633292801,0.8858630623618126,-0.014706581924330608,9.763268792001327,0.2629881379998551
7,AAPL,stockmixer,regression,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.26446516027103817,0.5142617624041653,0.4294562181935752,-0.25072876718014236,1.5917689992447541,0.22018219770496247,0.39221284899282055,1.2507639926784218,-0.04130240977036137,6.3638601989987365,0.2578497739996237
8,AAPL,stockmixer,regression,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.11251270897797258,0.3354291415157195,0.2661180904887195,-0.701424071352547,0.6348129667538318,0.14010414133078677,0.3157219529611298,0.7837532652443041,-1.1186634000878453,14.00160769499962,0.18383846800134052
