MSE,MSE_std,RMSE,RMSE_std,MAE,MAE_std,R2,R2_std,MAPE,MAPE_std,sMAPE,sMAPE_std,Baseline MSE,Baseline MSE_std,Baseline MAE,Baseline MAE_std,Baseline R2,Baseline R2_std,Fit Time,Fit Time_std,Prediction Time,Prediction Time_std,total_samples,n_splits,asset,model_type,task,stored_at,Accuracy,Accuracy_std,F1,F1_std,Precision,Precision_std,Recall,Recall_std,Baseline Accuracy,Baseline Accuracy_std,Baseline F1,Baseline F1_std,LogLoss,LogLoss_std
0.2228062365741518,0.30032836370880533,0.3971157017339028,0.31250285441226394,0.35273854928151427,0.30667917366106473,-5.08215669276576,8.303971221532224,0.4220818481249599,0.48000158974994295,0.31018478656761694,0.26827745061238367,0.11703848967807877,0.10555564280016344,0.2773413756686639,0.1555069021838199,-2.1870791353424557,2.9208560836060786,0.4778879666603946,0.16252883969889773,0.0017701999944013853,0.00010830054924100285,957,3,AAPL,arima,regression,2025-09-10T15:22:28.992677,,,,,,,,,,,,,,
0.16674327075518436,0.08827379987468281,0.3994755269765373,0.10365259839002221,0.34571870533201654,0.12165291484137648,-3.547481072864429,2.4464993013929712,0.3741711198282886,0.2644966317331793,0.33451900472940294,0.13048680837690974,0.11703848967807877,0.10555564280016344,0.2773413756686639,0.1555069021838199,-2.1870791353424557,2.9208560836060786,0.23851039999863133,0.1730545237936747,0.00105643334488074,0.0001977041686485123,957,3,AAPL,xgboost,regression,2025-09-10T15:22:29.361083,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0688383999998526,0.013585535556254857,0.0010851666641732056,7.756658429832412e-05,957,3,AAPL,xgboost,classification,2025-09-10T15:22:29.524014,0.7513227513227513,0.162907982204663,0.7269392120557638,0.14869055477714502,0.7617112365650377,0.05920920414180094,0.7513227513227513,0.162907982204663,0.6402116402116401,0.2387996634158044,0.5170392751357721,0.3001272244449503,0.5295535600325469,0.1992832725107015
0.048834092026490084,0.022981801189942648,0.21713579294573004,0.05029124349704168,0.18103650737597335,0.0468136647351636,-0.6428123361145204,0.9585321626458939,0.14184741113195581,0.033654728335571246,0.1396804661294937,0.03372818891091423,0.04784741273657198,0.04833396524599177,0.17099258547484789,0.09868611554557251,-0.0490747108312258,0.01562417012331265,0.5165596333293555,0.15608812353983542,0.0017658333332898717,4.3915182553977627e-05,957,3,MSFT,arima,regression,2025-09-10T15:22:30.262101,,,,,,,,,,,,,,
0.09873167018205675,0.0785500618414603,0.29889475052943665,0.11870297987836634,0.23943600836666024,0.08692715491395667,-1.9298843234541871,1.9063535108877283,0.17804355487187432,0.0326881900773513,0.1826972919299468,0.055769034306428884,0.04784741273657198,0.04833396524599177,0.17099258547484789,0.09868611554557251,-0.0490747108312258,0.01562417012331265,0.1411247000117631,0.0902047162731509,0.0010826333309523761,0.00012669358860395753,957,3,MSFT,xgboost,regression,2025-09-10T15:22:30.484379,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.07025523333383414,0.017759592748015234,0.0011312999995425344,1.575214625649021e-05,957,3,MSFT,xgboost,classification,2025-09-10T15:22:30.658235,0.6455026455026455,0.018328579974273833,0.5914946323415946,0.09738708918181642,0.6444988726734758,0.2113539071431968,0.6455026455026455,0.018328579974273833,0.6455026455026455,0.11148839950108717,0.510140350396581,0.14107539125387203,0.7720959578746891,0.15534498148165657
