fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,optimal_threshold,f1_optimized,last_sign_accuracy,last_sign_f1,logloss,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy,baseline_f1,baseline_precision,baseline_recall,confusion_matrix
1,AAPL,xgboost,classification,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.5674603174603174,0.5582789012740703,0.5644538323589816,0.5674603174603174,0.5583733873007842,0.5583733873007842,0.1,0.5582789012740703,0.46825396825396826,0.2986700986700987,0.9392207568863349,36.66320151600007,0.0320150239999748,0.46825396825396826,0.46825396825396826,0.2986700986700987,0.46825396825396826,0.46825396825396826,"[[94, 40], [69, 49]]"
2,AAPL,xgboost,classification,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.75,0.7490281449230292,0.7482758620689655,0.75,0.7240740740740741,0.7240740740740742,0.1,0.7490281449230292,0.6428571428571429,0.5031055900621119,0.581800174154337,46.430905714000005,0.018438731000060216,0.6428571428571429,0.6428571428571429,0.5031055900621119,0.6428571428571429,0.6428571428571429,"[[132, 30], [33, 57]]"
3,AAPL,xgboost,classification,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.75,0.7528500391730489,0.7681273644388398,0.75,0.7584670231729056,0.7584670231729056,0.1,0.7528500391730489,0.6071428571428571,0.4587301587301587,0.6096432013764769,46.72752846000003,0.0015634169999430014,0.6071428571428571,0.6071428571428571,0.4587301587301587,0.6071428571428571,0.6071428571428571,"[[110, 43], [20, 79]]"
4,AAPL,xgboost,classification,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.5753968253968254,0.5783432579065767,0.5877856182795699,0.5753968253968254,0.5761904761904761,0.5761904761904763,0.1,0.5783432579065767,0.4166666666666667,0.24509803921568626,0.8285103041851197,46.68001059699998,0.028631080999957703,0.4166666666666667,0.4166666666666667,0.24509803921568626,0.4166666666666667,0.4166666666666667,"[[84, 63], [44, 61]]"
5,AAPL,xgboost,classification,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.6190476190476191,0.614646337576947,0.6114566251018493,0.6190476190476191,0.5728958433859517,0.5728958433859516,0.1,0.614646337576947,0.6468253968253969,0.5081086249760949,0.6428990061836275,46.72906372199998,0.001417661000004955,0.6468253968253969,0.6468253968253969,0.5081086249760949,0.6468253968253969,0.6468253968253969,"[[119, 44], [52, 37]]"
6,AAPL,xgboost,classification,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.5515873015873016,0.5709239027675944,0.7299709927260947,0.5515873015873016,0.6327148043565954,0.6327148043565954,0.1,0.5709239027675944,0.7341269841269841,0.621572046057172,0.8139152603636952,0.2246710009999333,0.001934498999958123,0.7341269841269841,0.7341269841269841,0.621572046057172,0.7341269841269841,0.7341269841269841,"[[85, 100], [13, 54]]"
7,AAPL,xgboost,classification,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.5793650793650794,0.5631383913725118,0.5775510204081633,0.5793650793650794,0.5658119658119658,0.5658119658119658,0.1,0.5631383913725118,0.5357142857142857,0.37375415282392027,0.831038131884518,0.27209942500007855,0.0015083100000765626,0.5357142857142857,0.5357142857142857,0.37375415282392027,0.5357142857142857,0.5357142857142857,"[[102, 33], [73, 44]]"
8,AAPL,xgboost,classification,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.7261904761904762,0.7260394505292465,0.726461038961039,0.7261904761904762,0.726015748031496,0.726015748031496,0.1,0.7260394505292465,0.503968253968254,0.3377518113665871,0.6059056266213216,0.2535122980000324,0.0015201049999404859,0.503968253968254,0.503968253968254,0.3377518113665871,0.503968253968254,0.503968253968254,"[[88, 37], [32, 95]]"
