fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,optimal_threshold,f1_optimized,last_sign_accuracy,last_sign_f1,logloss,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy,baseline_f1,baseline_precision,baseline_recall,confusion_matrix
1,^GSPC,lstm,classification,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.6626984126984127,0.5644667223614592,0.7475555795057869,0.6626984126984127,0.5500269323996768,0.5500269323996768,0.1,0.5644667223614592,0.373015873015873,0.20267914487567668,,7.030805980997684,0.3123182839990477,0.373015873015873,0.373015873015873,0.20267914487567668,0.373015873015873,0.373015873015873,"[[157, 1], [84, 10]]"
2,^GSPC,lstm,classification,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.7063492063492064,0.6441479492766048,0.7850060725511646,0.7063492063492064,0.6126047603084144,0.6126047603084144,0.1,0.6441479492766048,0.623015873015873,0.4783055846625529,,8.239452337002149,0.30225969499952043,0.623015873015873,0.623015873015873,0.4783055846625529,0.623015873015873,0.623015873015873,"[[156, 1], [73, 22]]"
3,^GSPC,lstm,classification,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.6468253968253969,0.6068065734546119,0.5923690289887473,0.6468253968253969,0.5116626794258373,0.5116626794258373,0.1,0.6068065734546119,0.6984126984126984,0.5743954902833408,,8.696746081001038,0.28971697900124127,0.6984126984126984,0.6984126984126984,0.5743954902833408,0.6984126984126984,0.6984126984126984,"[[150, 26], [63, 13]]"
4,^GSPC,lstm,classification,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.6507936507936508,0.618682722130998,0.6515873015873015,0.6507936507936508,0.6026507276507277,0.6026507276507277,0.1,0.618682722130998,0.5873015873015873,0.4346031746031746,,9.985249695000675,0.27374702799716033,0.5873015873015873,0.5873015873015873,0.4346031746031746,0.5873015873015873,0.5873015873015873,"[[130, 18], [70, 34]]"
5,^GSPC,lstm,classification,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.4087301587301587,0.4496828067123669,0.7638425066996495,0.4087301587301587,0.5611888111888111,0.5611888111888111,0.1,0.4496828067123669,0.8253968253968254,0.7464458247066943,,9.989737506999518,0.2571660110006633,0.8253968253968254,0.8253968253968254,0.7464458247066943,0.8253968253968254,0.8253968253968254,"[[35, 9], [140, 68]]"
6,^GSPC,lstm,classification,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.6825396825396826,0.6772332964193429,0.674109945296386,0.6825396825396826,0.6305036984853822,0.6305036984853822,0.1,0.6772332964193429,0.6626984126984127,0.5282607872106679,,11.040813804997015,0.26241273100094986,0.6626984126984127,0.6626984126984127,0.5282607872106679,0.6626984126984127,0.6626984126984127,"[[40, 45], [35, 132]]"
7,^GSPC,lstm,classification,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.6666666666666666,0.6129032258064515,0.684931506849315,0.6666666666666666,0.5918003565062389,0.5918003565062389,0.1,0.6129032258064515,0.39285714285714285,0.2216117216117216,,10.642483507999714,0.23174253500110353,0.39285714285714285,0.39285714285714285,0.2216117216117216,0.39285714285714285,0.39285714285714285,"[[24, 75], [9, 144]]"
8,^GSPC,lstm,classification,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.5396825396825397,0.5258605072463768,0.5232555303529183,0.5396825396825397,0.508843537414966,0.508843537414966,0.1,0.5258605072463768,0.5833333333333334,0.4298245614035088,,11.893040204999124,0.2278235150006367,0.5833333333333334,0.5833333333333334,0.4298245614035088,0.5833333333333334,0.5833333333333334,"[[34, 71], [45, 102]]"
