fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_r2,fit_time,pred_time
1,IOZ.AX,lstm,regression,252,252,2011-02-17 13:00:00,2012-02-21 13:00:00,2012-02-22 13:00:00,2013-02-19 13:00:00,0.01034087498643923,0.10169009286277218,0.08489567291123999,-4.18649816428019,0.825638682941334,0.003050126992466284,0.035797508318292884,-0.5298007245995249,4.647657155990601,0.26111674308776855
2,IOZ.AX,lstm,regression,504,252,2011-02-17 13:00:00,2013-02-19 13:00:00,2013-02-20 13:00:00,2014-02-18 13:00:00,0.013470680305503484,0.11606325992967578,0.09792891045683798,-3.0940210646777526,0.9099199510951766,0.00421645251349237,0.038544386361963126,-0.28146797466484874,8.41981029510498,0.26662397384643555
3,IOZ.AX,lstm,regression,756,252,2011-02-17 13:00:00,2014-02-18 13:00:00,2014-02-19 13:00:00,2015-02-17 13:00:00,0.001121631536107124,0.033490767923520716,0.025778066780690743,-0.5791583763812889,0.21842697824553595,0.0010535808861648556,0.02438264647048421,-0.4833490571751813,9.302110195159912,0.23851633071899414
4,IOZ.AX,lstm,regression,1008,252,2011-02-17 13:00:00,2015-02-17 13:00:00,2015-02-18 13:00:00,2016-02-14 13:00:00,0.005270328667297399,0.07259702932832307,0.06079150014590437,-2.2899638173717585,0.31428816502333534,0.004494157802163823,0.054539373663507716,-1.8054448767917082,11.393822431564331,0.23000836372375488
5,IOZ.AX,lstm,regression,1260,252,2011-02-17 13:00:00,2016-02-14 13:00:00,2016-02-15 13:00:00,2017-02-12 13:00:00,0.003446807079368601,0.05870951438539244,0.04876989797779766,-1.4014620681796037,0.46939738475124226,0.0026589223627524502,0.04604875175835581,-0.8525264249933535,11.879452228546143,0.19518327713012695
6,IOZ.AX,lstm,regression,1512,252,2011-02-17 13:00:00,2017-02-12 13:00:00,2017-02-13 13:00:00,2018-02-11 13:00:00,0.004115161554346369,0.0641495249736611,0.0524417427983952,-3.1391189074229606,0.6838037277749454,0.0009963299708768145,0.025655837363090128,-0.0021303334088456083,11.428235054016113,0.22091126441955566
7,IOZ.AX,lstm,regression,1764,252,2011-02-17 13:00:00,2018-02-11 13:00:00,2018-02-12 13:00:00,2019-02-10 13:00:00,0.0017006532822052094,0.0412389777056271,0.032184166101334316,-0.1631880634483751,0.3063700616803191,0.0016093380178940743,0.03657533994182618,-0.10073157889109008,13.051599025726318,0.19402170181274414
8,IOZ.AX,lstm,regression,2016,252,2011-02-17 13:00:00,2019-02-10 13:00:00,2019-02-11 13:00:00,2020-02-09 13:00:00,0.009550548322021658,0.09772690684771343,0.05982433420750098,-0.5168157353212726,0.40247807579159867,0.008995991454047607,0.052328984676656295,-0.42874114995595125,13.54158091545105,0.1793079376220703
