fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,CBA.AX,stockmixer,regression,252,252,1991-12-05 13:00:00,1993-06-15 14:00:00,1993-06-16 14:00:00,1994-12-12 13:00:00,8.271488941443105,2.8760196350934577,2.553658969454373,-9.271139021297277,1.6220253298007699,1.1771170292721727,0.686164900177317,0.2753223357337065,-0.4616875797795015,6.055221664999408,0.2599109379989386
2,CBA.AX,stockmixer,regression,504,252,1991-12-05 13:00:00,1994-12-12 13:00:00,1994-12-13 13:00:00,1996-07-04 14:00:00,1.6685299915020138,1.291715909750288,1.0525737356642944,-2.4354361514110585,0.6973399804124167,0.5453835281401286,0.5791908141978535,0.3822537914618875,-0.12292275146342879,5.046515210997313,0.2486783620006463
3,CBA.AX,stockmixer,regression,756,252,1991-12-05 13:00:00,1996-07-04 14:00:00,1996-07-07 14:00:00,1997-12-04 13:00:00,1.9073794580070285,1.3810790918723765,1.1276894525175003,-1.060930061955324,0.7829828946462398,1.0925548258618998,0.7504532078759097,0.4046667555622452,-0.18050924555193926,6.244544222998229,0.25094465800066246
4,CBA.AX,stockmixer,regression,1008,252,1991-12-05 13:00:00,1997-12-04 13:00:00,1997-12-07 13:00:00,1999-04-06 14:00:00,1.3163041040319077,1.1473029695908172,0.8351634161246342,-0.7643544627945615,0.43349057790276957,0.7860782100678466,0.6807115777876144,0.43887559875876436,-0.053647552864531045,8.92811716399956,0.20161647199711297
5,CBA.AX,stockmixer,regression,1260,252,1991-12-05 13:00:00,1999-04-06 14:00:00,1999-04-07 14:00:00,2000-03-23 13:00:00,0.10737669096391486,0.32768382774240606,0.2671969191255148,-0.8362939869447072,0.16785380772023814,0.10339743680753835,0.2627138117686814,0.1538080081277477,-0.7682430867512244,7.512683698001638,0.21658000699972035
6,CBA.AX,stockmixer,regression,1512,252,1991-12-05 13:00:00,2000-03-23 13:00:00,2000-03-26 14:00:00,2001-03-12 13:00:00,0.2165912863220043,0.4653936896026893,0.3701302786217291,-1.9466568276555547,0.19441672430663928,0.2949249485825509,0.47107474520901715,0.2504970530966305,-3.012361845871733,8.38804633899781,0.20787044999815407
7,CBA.AX,stockmixer,regression,1764,252,1991-12-05 13:00:00,2001-03-12 13:00:00,2001-03-13 13:00:00,2002-02-27 13:00:00,0.13569595723809624,0.36836932179281195,0.2994970758143913,-0.7871756248093382,0.20237259734241375,0.07753112928371203,0.2280097547818875,0.15231179164529338,-0.02111917878776426,9.803669820998039,0.18661935099953553
8,CBA.AX,stockmixer,regression,2016,252,1991-12-05 13:00:00,2002-02-27 13:00:00,2002-02-28 13:00:00,2003-02-16 13:00:00,0.2575462820333243,0.5074901792481548,0.42824061134165226,-1.3544453283126656,0.22946252630649228,0.10988620513430515,0.29641406036279205,0.17880753484513212,-0.004561433703734519,6.92671782600155,0.2387770389977959
