fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,BHP.AX,lstm,regression,252,252,1990-03-08 14:00:00,1991-07-16 14:00:00,1991-07-30 14:00:00,1993-01-05 13:00:00,3.257798587535968,1.8049372807762512,1.5400520261927304,-1.3700678264047874,1.2006812000772797,1.458729827915882,1.0446927508545893,0.7526933806188558,-0.06123461585000256,7.192814163998264,0.2105468749978172
2,BHP.AX,lstm,regression,504,252,1990-03-08 14:00:00,1993-01-05 13:00:00,1993-01-06 13:00:00,1994-06-07 14:00:00,4.272117733847749,2.066910190077873,1.6601593043655787,-5.487127311319282,1.2574413763131969,0.938594372760494,0.6425570205083406,0.2887717083747842,-0.4252372170233236,6.946728475999407,0.20663889899878995
3,BHP.AX,lstm,regression,756,252,1990-03-08 14:00:00,1994-06-07 14:00:00,1994-06-08 14:00:00,1995-11-07 13:00:00,0.8977844228400484,0.947514866817428,0.6671088181654435,-0.4184252184604118,0.34216243313041084,0.6391453237619608,0.5425403232573606,0.34106444254471013,-0.009796809146155994,8.674923069000215,0.2310679850015731
4,BHP.AX,lstm,regression,1008,252,1990-03-08 14:00:00,1995-11-07 13:00:00,1995-11-08 13:00:00,1997-04-06 14:00:00,2.322913464898103,1.5241107128086537,0.9711599180559785,-0.41556467088164273,0.34047164965399274,1.9156305632870385,0.8757577496568263,0.300989399845534,-0.1673697659543154,8.24912852900161,0.22201113999835798
5,BHP.AX,lstm,regression,1260,252,1990-03-08 14:00:00,1997-04-06 14:00:00,1997-04-07 14:00:00,1998-09-07 14:00:00,1.4348829746676104,1.1978660086452118,0.794801248247365,-0.20923115721553698,0.3932091951034044,1.1931670255896265,0.7737100226517046,0.4398880752830047,-0.005527815562371252,8.252804517996992,0.19665889400130254
6,BHP.AX,lstm,regression,1512,252,1990-03-08 14:00:00,1998-09-07 14:00:00,1998-09-08 14:00:00,1999-10-06 14:00:00,0.7309315626999597,0.8549453565579263,0.5702951210768463,-12.495437075974165,0.537510893982078,0.1774696442250112,0.36665703527979776,0.28111573724364775,-2.276682166640985,9.100052794998192,0.2395923660005792
7,BHP.AX,lstm,regression,1764,252,1990-03-08 14:00:00,1999-10-06 14:00:00,1999-10-07 14:00:00,2000-09-24 13:00:00,0.08592079645554045,0.29312249394330087,0.23365778311152294,-0.41831970150560016,0.1778456923940248,0.06264713202111692,0.2058965229715468,0.1598308980072638,-0.03413451985799276,9.768172946001869,0.19709190800131182
8,BHP.AX,lstm,regression,2016,252,1990-03-08 14:00:00,2000-09-24 13:00:00,2000-09-25 13:00:00,2001-09-11 14:00:00,0.09507421485209114,0.30834106903247765,0.2491057218583194,-0.27037110840656653,0.19091766622808018,0.12154428513679305,0.2673818859457326,0.24558041840479758,-0.6240612501498586,11.341379269000754,0.2256607380004425
