fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,AAPL,xgboost,regression,63,63,2020-03-13 04:00:00,2020-06-11 04:00:00,2020-06-12 04:00:00,2020-09-10 04:00:00,0.2575247042548835,0.5074689194964392,0.47501545900463865,-6.090110809675851,0.6655195607556337,0.23814155490552108,0.4552225164260109,0.6397356452267945,-5.556458408731068,0.1881713999900967,0.0010393999982625246
2,AAPL,xgboost,regression,126,63,2020-03-13 04:00:00,2020-09-10 04:00:00,2020-09-11 04:00:00,2020-12-09 05:00:00,0.13116999532220536,0.3621739848777178,0.30826682798459976,-2.1289743885971877,0.2538092192037146,0.06842552571156511,0.2096404250831224,0.17173620133917758,-0.6322461318366754,0.03348539999569766,0.0007762000022921711
3,AAPL,xgboost,regression,189,63,2020-03-13 04:00:00,2020-12-09 05:00:00,2020-12-10 05:00:00,2021-03-12 05:00:00,0.1154735229805842,0.33981395348128984,0.26429858659721966,-2.557731514263287,0.2054382867400281,0.0445483884171501,0.16716118549685843,0.13268588796664363,-0.37253286545962383,0.19616819999646395,0.0009667999984230846
