fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,optimal_threshold,f1_optimized,last_sign_accuracy,last_sign_f1,logloss,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy,baseline_f1,baseline_precision,baseline_recall,confusion_matrix
1,BHP.AX,lstm,classification,252,252,1990-03-08 14:00:00,1991-07-16 14:00:00,1991-07-30 14:00:00,1993-01-05 13:00:00,0.503968253968254,0.49735032035497817,0.5635335290507704,0.503968253968254,0.5375,0.5375,0.1,0.49735032035497817,0.3968253968253968,0.22546897546897549,,8.85160904499935,0.34892156699788757,0.3968253968253968,0.3968253968253968,0.22546897546897549,0.3968253968253968,0.3968253968253968,"[[57, 95], [30, 70]]"
2,BHP.AX,lstm,classification,504,252,1990-03-08 14:00:00,1993-01-05 13:00:00,1993-01-06 13:00:00,1994-06-07 14:00:00,0.42857142857142855,0.37492711370262394,0.7404100529100529,0.42857142857142855,0.5755968169761273,0.5755968169761274,0.1,0.37492711370262394,0.6904761904761905,0.5640509725016767,,8.633903484998882,0.39188657799968496,0.6904761904761905,0.6904761904761905,0.5640509725016767,0.6904761904761905,0.6904761904761905,"[[75, 3], [141, 33]]"
3,BHP.AX,lstm,classification,756,252,1990-03-08 14:00:00,1994-06-07 14:00:00,1994-06-08 14:00:00,1995-11-07 13:00:00,0.5079365079365079,0.4793001612311032,0.5032751301408017,0.5079365079365079,0.5023633957269805,0.5023633957269805,0.1,0.4793001612311032,0.5119047619047619,0.34664416947881516,,9.79921367699717,0.3861202169973694,0.5119047619047619,0.5119047619047619,0.34664416947881516,0.5119047619047619,0.5119047619047619,"[[33, 90], [34, 95]]"
4,BHP.AX,lstm,classification,1008,252,1990-03-08 14:00:00,1995-11-07 13:00:00,1995-11-08 13:00:00,1997-04-06 14:00:00,0.6388888888888888,0.594588860530821,0.6495988032095743,0.6388888888888888,0.5888472473507366,0.5888472473507367,0.1,0.594588860530821,0.5793650793650794,0.42506181702161594,,10.851830398998572,0.2993671110016294,0.5793650793650794,0.5793650793650794,0.42506181702161594,0.5793650793650794,0.5793650793650794,"[[132, 14], [77, 29]]"
5,BHP.AX,lstm,classification,1260,252,1990-03-08 14:00:00,1997-04-06 14:00:00,1997-04-07 14:00:00,1998-09-07 14:00:00,0.6626984126984127,0.6623022155426016,0.661926755094457,0.6626984126984127,0.635054347826087,0.6350543478260869,0.1,0.6623022155426016,0.36507936507936506,0.19527500922849758,,12.106901049002772,0.3195925319996604,0.36507936507936506,0.36507936507936506,0.19527500922849758,0.36507936507936506,0.36507936507936506,"[[118, 42], [43, 49]]"
6,BHP.AX,lstm,classification,1512,252,1990-03-08 14:00:00,1998-09-07 14:00:00,1998-09-08 14:00:00,1999-10-06 14:00:00,0.6785714285714286,0.6691926565427814,0.7158744869588244,0.6785714285714286,0.6871212121212121,0.6871212121212122,0.1,0.6691926565427814,0.47619047619047616,0.30721966205837176,,12.682981918998848,0.3076026179987821,0.47619047619047616,0.47619047619047616,0.30721966205837176,0.47619047619047616,0.47619047619047616,"[[104, 16], [65, 67]]"
7,BHP.AX,lstm,classification,1764,252,1990-03-08 14:00:00,1999-10-06 14:00:00,1999-10-07 14:00:00,2000-09-24 13:00:00,0.5873015873015873,0.5296471631754283,0.6579728136540728,0.5873015873015873,0.5817792338709677,0.5817792338709677,0.1,0.5296471631754283,0.5079365079365079,0.3421888053467001,,13.175035909000144,0.27589238500149804,0.5079365079365079,0.5079365079365079,0.3421888053467001,0.5079365079365079,0.5079365079365079,"[[119, 9], [95, 29]]"
8,BHP.AX,lstm,classification,2016,252,1990-03-08 14:00:00,2000-09-24 13:00:00,2000-09-25 13:00:00,2001-09-11 14:00:00,0.6309523809523809,0.605078960087121,0.6077694235588973,0.6309523809523809,0.5656477242122273,0.5656477242122273,0.1,0.605078960087121,0.626984126984127,0.4832365466511808,,13.687088470000162,0.2552336490007292,0.626984126984127,0.626984126984127,0.4832365466511808,0.626984126984127,0.626984126984127,"[[130, 28], [65, 29]]"
