mse,mse_std,rmse,rmse_std,mae,mae_std,r2,r2_std,mape,mape_std,baseline_mse,baseline_mse_std,baseline_mae,baseline_mae_std,baseline_r2,baseline_r2_std,fit_time,fit_time_std,pred_time,pred_time_std,n_splits,total_samples,asset,model_type,task,stored_at,accuracy,accuracy_std,f1,f1_std,precision,precision_std,recall,recall_std,logloss,logloss_std
0.03913502543353255,0.03732881398008643,0.17923759206954562,0.08371923926221322,0.12937897106235702,0.052023107389427274,-0.3530441688317062,0.31508502791103277,0.24985920032757475,0.03654999635311209,0.05202379498184337,0.03738554686761001,0.17488692098700342,0.07281894068758742,-1.6751505660340518,2.198875146296363,6.167955607175827,2.3202022222521745,0.0003574192523956299,7.038906671993965e-05,8,11088,AAPL,arima,regression,2025-08-26T00:22:48.955432,,,,,,,,,,
0.05318456781007379,0.03950290847401377,0.21743600512066769,0.07685148981795188,0.17682448071104392,0.0758700951907204,-1.7607492550962522,2.3613264614163914,0.4180008799789217,0.24138227360193526,0.05202379498184337,0.03738554686761001,0.17488692098700342,0.07281894068758742,-1.6751505660340518,2.198875146296363,0.13070130348205566,0.06458858854606828,0.00861021876335144,0.0036921651584255187,8,11088,AAPL,enhanced_arima,regression,2025-08-26T00:23:32.055993,,,,,,,,,,
0.04620341350956107,0.03180726479349862,0.20348235496512837,0.06927008537172864,0.15233189783273365,0.04543524283062587,-1.0753076572756881,1.0550434979129646,0.3373968002556817,0.09665874941210273,0.05202379498184337,0.03738554686761001,0.17488692098700342,0.07281894068758742,-1.6751505660340518,2.198875146296363,8.685387641191483,2.5987515159219816,0.1958911120891571,0.02176143716214013,8,11088,AAPL,lstm,regression,2025-08-26T00:23:43.965535,,,,,,,,,,
0.046911523229139565,0.03228510940550027,0.20564959418038575,0.06796887260049429,0.15344498489487624,0.04670838271218247,-1.2292365204040268,1.4496320245553653,0.3397849370786644,0.10566264980247338,0.05202379498184337,0.03738554686761001,0.17488692098700342,0.07281894068758742,-1.6751505660340518,2.198875146296363,8.835166424512863,2.807487492276222,0.21227648854255676,0.03068346454689163,8,11088,AAPL,stockmixer,regression,2025-08-26T00:23:57.049530,,,,,,,,,,
0.050512009905315305,0.027165422378821007,0.21700819489328688,0.058476091306383655,0.1679851952415954,0.04116432747799508,-1.4831663416896403,1.325192514021135,0.38604693222618197,0.13185708067369128,0.05202379498184337,0.03738554686761001,0.17488692098700342,0.07281894068758742,-1.6751505660340518,2.198875146296363,82.53990557789803,6.2654936096066995,0.029596686363220215,0.018922165593872158,8,11088,AAPL,xgboost,regression,2025-08-26T00:25:23.968681,,,,,,,,,,
,,,,,,,,,,,,,,,,4.763302326202393,0.663812142968041,0.21200081706047058,0.023300623270244843,8,11088,AAPL,lstm,classification,2025-08-26T00:26:33.756564,0.5709325396825397,0.1859523714255226,0.5553305387724775,0.19123373196066223,0.6185064064460564,0.18539056001609866,0.5709325396825397,0.1859523714255226,,
,,,,,,,,,,,,,,,,4.560548961162567,1.329547449589112,0.20074400305747986,0.015050537274421984,8,11088,AAPL,stockmixer,classification,2025-08-26T00:27:53.078615,0.5843253968253967,0.1959545145402562,0.5723784556751098,0.1978897667002492,0.6358638964291587,0.18103706251603016,0.5843253968253967,0.1959545145402562,,
,,,,,,,,,,,,,,,,0.21816468238830566,0.041503473519666566,0.0017596185207366943,0.0007443349470353376,8,11088,AAPL,xgboost,classification,2025-08-26T00:29:29.710204,0.5034722222222222,0.1849014472894968,0.47607028441744903,0.2069091680304308,0.5825413675229343,0.18981792727800406,0.5034722222222222,0.1849014472894968,1.0452229284327108,0.46882002943846346
0.009064516935262657,0.0033844261661486697,0.09355083291057005,0.017684982244866972,0.07775968606967926,0.01188229223032498,-0.48330820384007145,0.4313920686628896,0.2596751700978511,0.04668760263768244,0.019276560827598162,0.02006413468873801,0.10777764221502306,0.061177014953882496,-1.5088908337341973,1.7939957655056074,7.606515139341354,4.005329206034996,0.00041410326957702637,7.704152816973777e-05,8,11088,MSFT,arima,regression,2025-08-26T00:38:07.651325,,,,,,,,,,
0.009064516935262657,0.0033844261661486697,,,0.07775968606967926,0.01188229223032498,-0.48330820384007145,0.4313920686628896,,,,,,,,,0.0,0.0,0.0,0.0,8,11088,MSFT,enhanced_arima,regression,2025-08-26T00:39:38.717395,,,,,,,,,,
0.03072630162653888,0.03966076421905083,0.15079118405396472,0.08937740451670219,0.1287890388706695,0.08068601802469079,-3.1938402009451057,4.077801279664166,0.4331231195164072,0.2753552994644943,0.019276560827598162,0.02006413468873801,0.10777764221502306,0.061177014953882496,-1.5088908337341973,1.7939957655056074,10.993729054927826,1.5464229841433208,0.21049165725708008,0.023388565986166357,8,11088,MSFT,lstm,regression,2025-08-26T00:39:52.409479,,,,,,,,,,
0.041834896088033105,0.06886118995548962,0.16366027543348308,0.12267929871445128,0.14140287025720757,0.11421883740732251,-4.364203888565866,7.163295334448815,0.4731223492228516,0.3863302851776891,0.019276560827598162,0.02006413468873801,0.10777764221502306,0.061177014953882496,-1.5088908337341973,1.7939957655056074,8.926572471857071,1.661342064342861,0.22852188348770142,0.03264018363988253,8,11088,MSFT,stockmixer,regression,2025-08-26T00:40:04.597615,,,,,,,,,,
0.009064516935262657,0.0033844261661486697,,,0.07775968606967926,0.01188229223032498,-0.48330820384007145,0.4313920686628896,,,,,,,,,0.0,0.0,0.0,0.0,8,11088,MSFT,xgboost,regression,2025-08-26T00:40:05.525751,,,,,,,,,,
