fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_r2,fit_time,pred_time
1,AAPL,xgboost,regression,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.06947759638902672,0.26358603223431,0.2341313610330718,-3.226898898280842,0.6773738251329045,0.13270946005031803,0.3459150633326935,-7.073818031026919,66.3721981048584,0.07185673713684082
2,AAPL,xgboost,regression,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.03129211050221163,0.1768957616852694,0.14573662430733794,-4.131815857457972,0.5038862198482619,0.022878988465092998,0.13251682679412444,-2.7520881117770566,81.28366947174072,0.03300142288208008
3,AAPL,xgboost,regression,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.06461784826364568,0.2542004096449211,0.1743824387429172,-0.4855172022943135,0.3052115306434234,0.057672910187898274,0.16054491220515804,-0.3258581412513315,85.1235020160675,0.035602569580078125
4,AAPL,xgboost,regression,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.026838458843686006,0.16382447571619452,0.13396538046638787,-1.27245374529127,0.38819887715380347,0.023208654376531284,0.1284591073970847,-0.9651125971239161,85.58858561515808,0.016036510467529297
5,AAPL,xgboost,regression,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.018174703660791613,0.13481358856135983,0.10993590798570348,-0.695383811004247,0.29738155504163755,0.02280286320600776,0.12798923516989225,-1.1271106173472596,85.6431143283844,0.022733688354492188
6,AAPL,xgboost,regression,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.04733325557288807,0.2175620729191742,0.1567669096702987,-0.7368425044903215,0.2636304933170259,0.02883932417944714,0.11560941120416232,-0.058227739237312504,85.67326259613037,0.005682945251464844
7,AAPL,xgboost,regression,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.10732482842893354,0.32760468316086927,0.230451967182039,-0.20284034974172127,0.3700399934185812,0.08933231117933037,0.2298601240513409,-0.0011896594210074607,84.97719120979309,0.035956621170043945
8,AAPL,xgboost,regression,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.03903727758133918,0.1975785352241968,0.15851097254500704,-1.1135783649564366,0.28265296325381806,0.0387458482101211,0.15820068774157117,-1.0977996310876117,85.65772128105164,0.015902996063232422
