fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,IOZ.AX,lstm,regression,252,252,2011-02-17 13:00:00,2012-02-21 13:00:00,2012-02-22 13:00:00,2013-02-19 13:00:00,0.6651748533989431,0.8155825239661177,0.7162120142233245,-4.784425911662115,0.3189847154201531,0.18243834699866057,0.3004253435602408,0.16559616722659598,-0.5865017991395658,5.138787748999675,0.24925966299997526
2,IOZ.AX,lstm,regression,504,252,2011-02-17 13:00:00,2013-02-19 13:00:00,2013-02-20 13:00:00,2014-02-18 13:00:00,0.29248499213609735,0.5408188163665326,0.4743161922412933,-1.3315085742226205,0.23694902653668315,0.16212014209289938,0.2792806855860933,0.16894188114354047,-0.29232101306548763,9.035465670000121,0.24252656299995579
3,IOZ.AX,lstm,regression,756,252,2011-02-17 13:00:00,2014-02-18 13:00:00,2014-02-19 13:00:00,2015-02-17 13:00:00,0.15404039184767476,0.39247979801217125,0.32989292172589807,-1.9157696582961572,0.14518816077915517,0.07519178242684899,0.21773989165734575,0.1068950442204935,-0.4232755131536978,9.61926847199993,0.236650209999425
4,IOZ.AX,lstm,regression,1008,252,2011-02-17 13:00:00,2015-02-17 13:00:00,2015-02-18 13:00:00,2016-02-14 13:00:00,0.21876933193715578,0.46772783960029124,0.3903683987499173,-3.5474627398479264,0.2329737268888074,0.16262757844153908,0.3449453855754327,0.2154888800876357,-2.380468582529551,10.206782420000309,0.22146800700011227
5,IOZ.AX,lstm,regression,1260,252,2011-02-17 13:00:00,2016-02-14 13:00:00,2016-02-15 13:00:00,2017-02-12 13:00:00,0.17550661207833662,0.4189350929181472,0.3545637119594613,-1.1393075576449343,0.15990379573587166,0.1669944077182385,0.35358631493178255,0.15793221262919854,-1.0355495116992621,10.514193506000083,0.20965146100024867
6,IOZ.AX,lstm,regression,1512,252,2011-02-17 13:00:00,2017-02-12 13:00:00,2017-02-13 13:00:00,2018-02-11 13:00:00,0.20270816778073086,0.4502312381218465,0.3707320720859596,-0.9744577314929481,0.1520794806051484,0.10704410415393925,0.26812894497122647,0.113587278235518,-0.04265191369148469,10.980779354000333,0.2004739599997265
7,IOZ.AX,lstm,regression,1764,252,2011-02-17 13:00:00,2018-02-11 13:00:00,2018-02-12 13:00:00,2019-02-10 13:00:00,0.29773170509977626,0.5456479681074385,0.4678628123291999,-1.3554696833020201,0.20763619547353176,0.15788071931728004,0.35539975701782917,0.1504024414425721,-0.24905490936926244,11.516083799000626,0.1849021289999655
8,IOZ.AX,lstm,regression,2016,252,2011-02-17 13:00:00,2019-02-10 13:00:00,2019-02-11 13:00:00,2020-02-09 13:00:00,0.3481091772644454,0.5900077772914908,0.39636038923069344,-1.3953064428795563,0.2727438522757766,0.3217195943513922,0.4249750603555057,0.2799143317200401,-1.2137222098142422,12.027870566000274,0.18032841900003405
