fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy
1,MSFT,lstm,classification,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.20238095238095238,0.16229978363548198,0.4177785684635,0.20238095238095238,0.37653846153846154,6.323050022125244,0.2490098476409912,0.7936507936507936,0.5
2,MSFT,lstm,classification,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.44841269841269843,0.31471512104416527,0.7639297145469984,0.44841269841269843,0.5304054054054054,4.9422008991241455,0.28220176696777344,0.4126984126984127,0.5
3,MSFT,lstm,classification,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.4365079365079365,0.3844461697722567,0.4234432234432234,0.4365079365079365,0.4503787878787879,5.91259241104126,0.2741222381591797,0.5238095238095238,0.5
4,MSFT,lstm,classification,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.13095238095238096,0.06144237131136694,0.9014844804318488,0.13095238095238096,0.5111607142857143,5.713815212249756,0.2799670696258545,0.8888888888888888,0.5
5,MSFT,lstm,classification,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.5317460317460317,0.4847237038036111,0.44816498610868255,0.5317460317460317,0.39416111802151166,6.258559703826904,0.24911141395568848,0.6865079365079365,0.5
6,MSFT,lstm,classification,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.6904761904761905,0.7965986394557822,0.960275356827081,0.6904761904761905,0.5975609756097561,7.505095958709717,0.21611785888671875,0.9761904761904762,0.5
7,MSFT,lstm,classification,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.7301587301587301,0.7374888834990703,0.7470370156937323,0.7301587301587301,0.6456140350877193,8.034670352935791,0.2065896987915039,0.7738095238095238,0.5
8,MSFT,lstm,classification,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.873015873015873,0.8210461489560363,0.8282539682539682,0.873015873015873,0.5133522727272728,10.008597135543823,0.2154099941253662,0.873015873015873,0.5
