fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,CBA.AX,enhanced_arima,regression,252,252,1991-12-05 13:00:00,1993-06-15 14:00:00,1993-06-16 14:00:00,1994-12-12 13:00:00,1.2462516764056455,1.1163564289265528,0.7315239580012621,-0.5475356751977853,0.30285904329741586,1.1771170292721727,0.686164900177317,0.2753223357337065,-0.4616875797795015,0.5265591349998431,0.006201139000040712
2,CBA.AX,enhanced_arima,regression,504,252,1991-12-05 13:00:00,1994-12-12 13:00:00,1994-12-13 13:00:00,1996-07-04 14:00:00,0.5612544096000777,0.7491691461880139,0.5963365217584508,-0.1556002581309608,0.3924866222140532,0.5453835281401286,0.5791908141978535,0.3822537914618875,-0.12292275146342879,0.6512130690007325,0.006177629000376328
3,CBA.AX,enhanced_arima,regression,756,252,1991-12-05 13:00:00,1996-07-04 14:00:00,1996-07-07 14:00:00,1997-12-04 13:00:00,1.1058173439323384,1.051578501079372,0.7681211701931686,-0.19483944192364677,0.4232035806936961,1.0925548258618998,0.7504532078759097,0.4046667555622452,-0.18050924555193926,0.6210091610000745,0.011009407000528881
4,CBA.AX,enhanced_arima,regression,1008,252,1991-12-05 13:00:00,1997-12-04 13:00:00,1997-12-07 13:00:00,1999-04-06 14:00:00,0.8196824773127195,0.9053631742636319,0.6891069139535891,-0.09869021337195649,0.4469973194577114,0.7860782100678466,0.6807115777876144,0.43887559875876436,-0.053647552864531045,0.7142528469994431,0.007425701999636658
5,CBA.AX,enhanced_arima,regression,1260,252,1991-12-05 13:00:00,1999-04-06 14:00:00,1999-04-07 14:00:00,2000-03-23 13:00:00,0.09726746885896308,0.3118773298253066,0.2507066829277537,-0.6634119247637267,0.14705873813139994,0.10339743680753835,0.2627138117686814,0.1538080081277477,-0.7682430867512244,0.6850118629999997,0.005359533000046213
6,CBA.AX,enhanced_arima,regression,1512,252,1991-12-05 13:00:00,2000-03-23 13:00:00,2000-03-26 14:00:00,2001-03-12 13:00:00,0.29570435252537053,0.543787047037138,0.4736138752715252,-3.022965393173463,0.25266639802229107,0.2949249485825509,0.47107474520901715,0.2504970530966305,-3.012361845871733,1.0213444529999833,0.009367812000164122
7,CBA.AX,enhanced_arima,regression,1764,252,1991-12-05 13:00:00,2001-03-12 13:00:00,2001-03-13 13:00:00,2002-02-27 13:00:00,0.07806986726877176,0.2794098553536932,0.22853028361385844,-0.02821459573799423,0.15320654074856419,0.07753112928371203,0.2280097547818875,0.15231179164529338,-0.02111917878776426,0.9655870830001732,0.005818138999529765
8,CBA.AX,enhanced_arima,regression,2016,252,1991-12-05 13:00:00,2002-02-27 13:00:00,2002-02-28 13:00:00,2003-02-16 13:00:00,0.10957855954049704,0.3310265239229283,0.29521728283822796,-0.0017489887894088785,0.1774912907144652,0.10988620513430515,0.29641406036279205,0.17880753484513212,-0.004561433703734519,1.0374653569997463,0.005386824999732198
