MSE,RMSE,MAE,R2,asset,model_type,task,stored_at,Accuracy,F1,Precision,Recall
0.000717147295,0.026779605951,0.019972180701,0.591350080157,AAPL,xgboost,regression,2025-08-13T23:47:30.358426,,,,
,,,,AAPL,xgboost,classification,2025-08-13T23:47:33.319295,1.0,1.0,1.0,1.0
0.000135393415,0.011635867615,0.009567615727,0.952536477466,MSFT,xgboost,regression,2025-08-13T23:47:36.592393,,,,
,,,,MSFT,xgboost,classification,2025-08-13T23:47:38.720192,1.0,1.0,1.0,1.0
8.0436938e-05,0.008968664236,0.007394746406,0.865656927188,^GSPC,xgboost,regression,2025-08-13T23:47:42.184879,,,,
,,,,^GSPC,xgboost,classification,2025-08-13T23:47:43.924540,1.0,1.0,1.0,1.0
7.9062343e-05,0.008891700818,0.007326007842,0.540296874187,IOZ.AX,xgboost,regression,2025-08-13T23:47:47.140009,,,,
,,,,IOZ.AX,xgboost,classification,2025-08-13T23:47:49.124583,1.0,1.0,1.0,1.0
0.000286824173,0.016935884171,0.012522711181,0.60304628893,CBA.AX,xgboost,regression,2025-08-13T23:47:52.682684,,,,
,,,,CBA.AX,xgboost,classification,2025-08-13T23:47:54.707817,1.0,1.0,1.0,1.0
0.000256392624,0.016012264785,0.012961478056,0.910871943588,BHP.AX,xgboost,regression,2025-08-13T23:47:57.470941,,,,
,,,,BHP.AX,xgboost,classification,2025-08-13T23:47:59.571267,1.0,1.0,1.0,1.0
