MSE,RMSE,MAE,R2,asset,model_type,task,stored_at,Accuracy,F1,Precision,Recall
0.01515699313,0.123113740621,0.108389503701,-7.636907106469,AAPL,arima,regression,2025-08-13T23:37:50.021828,,,,
,,,,AAPL,lstm,regression,2025-08-13T23:37:51.266054,,,,
,,,,AAPL,stockmixer,regression,2025-08-13T23:37:51.331018,,,,
0.000708738096,0.026622135459,0.019867439497,0.596139877561,AAPL,xgboost,regression,2025-08-13T23:37:52.157919,,,,
,,,,AAPL,lstm,classification,2025-08-13T23:37:52.244782,,,,
,,,,AAPL,stockmixer,classification,2025-08-13T23:37:52.382006,,,,
,,,,AAPL,xgboost,classification,2025-08-13T23:37:54.560187,1.0,1.0,1.0,1.0
0.0028732001,0.053602239693,0.050731340302,-0.007225754084,MSFT,arima,regression,2025-08-13T23:37:58.748099,,,,
,,,,MSFT,lstm,regression,2025-08-13T23:37:58.926589,,,,
,,,,MSFT,stockmixer,regression,2025-08-13T23:37:58.969442,,,,
0.000127355997,0.01128521143,0.00936705971,0.955354226762,MSFT,xgboost,regression,2025-08-13T23:38:00.083731,,,,
,,,,MSFT,lstm,classification,2025-08-13T23:38:00.199866,,,,
,,,,MSFT,stockmixer,classification,2025-08-13T23:38:00.259987,,,,
,,,,MSFT,xgboost,classification,2025-08-13T23:38:01.771905,1.0,1.0,1.0,1.0
0.000677110338,0.026021343891,0.021034506397,-0.13088694687,^GSPC,arima,regression,2025-08-13T23:38:06.027224,,,,
,,,,^GSPC,lstm,regression,2025-08-13T23:38:06.205357,,,,
,,,,^GSPC,stockmixer,regression,2025-08-13T23:38:06.253420,,,,
8.0436938e-05,0.008968664236,0.007394746406,0.865656927188,^GSPC,xgboost,regression,2025-08-13T23:38:07.275331,,,,
,,,,^GSPC,lstm,classification,2025-08-13T23:38:07.435495,,,,
,,,,^GSPC,stockmixer,classification,2025-08-13T23:38:07.479188,,,,
,,,,^GSPC,xgboost,classification,2025-08-13T23:38:09.099788,1.0,1.0,1.0,1.0
0.000222656888,0.014921691877,0.012435063685,-0.294643222663,IOZ.AX,arima,regression,2025-08-13T23:38:12.229797,,,,
,,,,IOZ.AX,lstm,regression,2025-08-13T23:38:12.456922,,,,
,,,,IOZ.AX,stockmixer,regression,2025-08-13T23:38:12.513701,,,,
7.906198e-05,0.008891680406,0.007325962833,0.540292429968,IOZ.AX,xgboost,regression,2025-08-13T23:38:13.629293,,,,
,,,,IOZ.AX,lstm,classification,2025-08-13T23:38:13.786228,,,,
,,,,IOZ.AX,stockmixer,classification,2025-08-13T23:38:13.871082,,,,
,,,,IOZ.AX,xgboost,classification,2025-08-13T23:38:15.549465,1.0,1.0,1.0,1.0
0.000782467781,0.02797262557,0.023884218258,-0.082905553986,CBA.AX,arima,regression,2025-08-13T23:38:19.025707,,,,
,,,,CBA.AX,lstm,regression,2025-08-13T23:38:19.286740,,,,
,,,,CBA.AX,stockmixer,regression,2025-08-13T23:38:19.332000,,,,
0.000286823658,0.01693586898,0.012522717094,0.603047001042,CBA.AX,xgboost,regression,2025-08-13T23:38:20.448227,,,,
,,,,CBA.AX,lstm,classification,2025-08-13T23:38:20.558578,,,,
,,,,CBA.AX,stockmixer,classification,2025-08-13T23:38:20.632145,,,,
,,,,CBA.AX,xgboost,classification,2025-08-13T23:38:22.251928,1.0,1.0,1.0,1.0
0.006942524873,0.08332181511,0.076282312303,-1.413383559308,BHP.AX,arima,regression,2025-08-13T23:38:25.744816,,,,
,,,,BHP.AX,lstm,regression,2025-08-13T23:38:25.933645,,,,
,,,,BHP.AX,stockmixer,regression,2025-08-13T23:38:25.993915,,,,
0.000256400585,0.016012513395,0.012961699894,0.910869176808,BHP.AX,xgboost,regression,2025-08-13T23:38:27.104445,,,,
,,,,BHP.AX,lstm,classification,2025-08-13T23:38:27.247469,,,,
,,,,BHP.AX,stockmixer,classification,2025-08-13T23:38:27.291710,,,,
,,,,BHP.AX,xgboost,classification,2025-08-13T23:38:29.050778,1.0,1.0,1.0,1.0
