Asset,Model,Task,MSE,RMSE,MAE,R²,MAPE,Baseline_MSE,Fit_Time_s,Pred_Time_s,Accuracy,F1-Score,Precision,Recall
AAPL,arima,regression,0.039135 ± 0.037329,0.179238 ± 0.083719,0.129379 ± 0.052023,-0.3530 ± 0.3151,0.2499 ± 0.0365,0.052024 ± 0.037386,6.168 ± 2.320,0.000 ± 0.000,,,,
AAPL,enhanced_arima,regression,0.053185 ± 0.039503,0.217436 ± 0.076851,0.176824 ± 0.075870,-1.7607 ± 2.3613,0.4180 ± 0.2414,0.052024 ± 0.037386,0.131 ± 0.065,0.009 ± 0.004,,,,
AAPL,lstm,regression,0.046203 ± 0.031807,0.203482 ± 0.069270,0.152332 ± 0.045435,-1.0753 ± 1.0550,0.3374 ± 0.0967,0.052024 ± 0.037386,8.685 ± 2.599,0.196 ± 0.022,,,,
AAPL,stockmixer,regression,0.046912 ± 0.032285,0.205650 ± 0.067969,0.153445 ± 0.046708,-1.2292 ± 1.4496,0.3398 ± 0.1057,0.052024 ± 0.037386,8.835 ± 2.807,0.212 ± 0.031,,,,
AAPL,xgboost,regression,0.050512 ± 0.027165,0.217008 ± 0.058476,0.167985 ± 0.041164,-1.4832 ± 1.3252,0.3860 ± 0.1319,0.052024 ± 0.037386,82.540 ± 6.265,0.030 ± 0.019,,,,
AAPL,lstm,classification,,,,,,,4.763 ± 0.664,0.212 ± 0.023,0.5709 ± 0.1860,0.5553 ± 0.1912,0.6185 ± 0.1854,0.5709 ± 0.1860
AAPL,stockmixer,classification,,,,,,,4.561 ± 1.330,0.201 ± 0.015,0.5843 ± 0.1960,0.5724 ± 0.1979,0.6359 ± 0.1810,0.5843 ± 0.1960
AAPL,xgboost,classification,,,,,,,0.218 ± 0.042,0.002 ± 0.001,0.5035 ± 0.1849,0.4761 ± 0.2069,0.5825 ± 0.1898,0.5035 ± 0.1849
MSFT,arima,regression,0.009065 ± 0.003384,0.093551 ± 0.017685,0.077760 ± 0.011882,-0.4833 ± 0.4314,0.2597 ± 0.0467,0.019277 ± 0.020064,7.607 ± 4.005,0.000 ± 0.000,,,,
MSFT,enhanced_arima,regression,0.009065 ± 0.003384,nan ± nan,0.077760 ± 0.011882,-0.4833 ± 0.4314,nan ± nan,nan ± nan,0.000 ± 0.000,0.000 ± 0.000,,,,
MSFT,lstm,regression,0.030726 ± 0.039661,0.150791 ± 0.089377,0.128789 ± 0.080686,-3.1938 ± 4.0778,0.4331 ± 0.2754,0.019277 ± 0.020064,10.994 ± 1.546,0.210 ± 0.023,,,,
MSFT,stockmixer,regression,0.041835 ± 0.068861,0.163660 ± 0.122679,0.141403 ± 0.114219,-4.3642 ± 7.1633,0.4731 ± 0.3863,0.019277 ± 0.020064,8.927 ± 1.661,0.229 ± 0.033,,,,
MSFT,xgboost,regression,0.009065 ± 0.003384,nan ± nan,0.077760 ± 0.011882,-0.4833 ± 0.4314,nan ± nan,nan ± nan,0.000 ± 0.000,0.000 ± 0.000,,,,
MSFT,lstm,classification,,,,,,,6.837 ± 1.510,0.247 ± 0.029,0.5055 ± 0.2400,0.4703 ± 0.2726,0.6863 ± 0.2089,0.5055 ± 0.2400
MSFT,stockmixer,classification,,,,,,,5.020 ± 0.655,0.228 ± 0.026,0.5164 ± 0.2269,0.4834 ± 0.2420,0.6707 ± 0.1844,0.5164 ± 0.2269
MSFT,xgboost,classification,,,,,,,0.000 ± 0.000,0.000 ± 0.000,nan ± nan,nan ± nan,nan ± nan,nan ± nan
^GSPC,arima,regression,0.004046 ± 0.004818,0.055054 ± 0.031864,0.044487 ± 0.023104,-1.4316 ± 1.0760,0.3801 ± 0.0874,0.004326 ± 0.005282,6.871 ± 3.398,0.000 ± 0.000,,,,
