fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,optimal_threshold,f1_optimized,last_sign_accuracy,last_sign_f1,logloss,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy,baseline_f1,baseline_precision,baseline_recall,confusion_matrix
1,CBA.AX,stockmixer,classification,252,252,1991-12-05 13:00:00,1993-06-15 14:00:00,1993-06-16 14:00:00,1994-12-12 13:00:00,0.6547619047619048,0.5493734335839598,0.7783656672545561,0.6547619047619048,0.546875,0.546875,0.1,0.5493734335839598,0.38095238095238093,0.21018062397372742,,5.4896224069998425,0.2574309119991085,0.38095238095238093,0.38095238095238093,0.21018062397372742,0.38095238095238093,0.38095238095238093,"[[156, 0], [87, 9]]"
2,CBA.AX,stockmixer,classification,504,252,1991-12-05 13:00:00,1994-12-12 13:00:00,1994-12-13 13:00:00,1996-07-04 14:00:00,0.626984126984127,0.6397798897798899,0.6973086277521762,0.626984126984127,0.6498546511627907,0.6498546511627907,0.1,0.6397798897798899,0.6825396825396826,0.553758610362384,,4.494014971998695,0.28487055000005057,0.6825396825396826,0.6825396825396826,0.553758610362384,0.6825396825396826,0.6825396825396826,"[[57, 23], [71, 101]]"
3,CBA.AX,stockmixer,classification,756,252,1991-12-05 13:00:00,1996-07-04 14:00:00,1996-07-07 14:00:00,1997-12-04 13:00:00,0.43253968253968256,0.43961337430725184,0.6610527428236159,0.43253968253968256,0.54227761485826,0.54227761485826,0.1,0.43961337430725184,0.2619047619047619,0.1087151841868823,,6.3478848679988005,0.2545192079996923,0.2619047619047619,0.2619047619047619,0.1087151841868823,0.2619047619047619,0.2619047619047619,"[[51, 15], [128, 58]]"
4,CBA.AX,stockmixer,classification,1008,252,1991-12-05 13:00:00,1997-12-04 13:00:00,1997-12-07 13:00:00,1999-04-06 14:00:00,0.7023809523809523,0.689152588071646,0.6780612244897959,0.7023809523809523,0.5139376125912581,0.5139376125912581,0.1,0.689152588071646,0.7896825396825397,0.696881709076831,,5.864489758998388,0.2448197909980081,0.7896825396825397,0.7896825396825397,0.696881709076831,0.7896825396825397,0.7896825396825397,"[[10, 43], [32, 167]]"
5,CBA.AX,stockmixer,classification,1260,252,1991-12-05 13:00:00,1999-04-06 14:00:00,1999-04-07 14:00:00,2000-03-23 13:00:00,0.2619047619047619,0.1087151841868823,0.06859410430839004,0.2619047619047619,0.5,0.5,0.1,0.1087151841868823,0.2619047619047619,0.1087151841868823,,5.126202749001095,0.26089587200112874,0.2619047619047619,0.2619047619047619,0.1087151841868823,0.2619047619047619,0.2619047619047619,"[[0, 186], [0, 66]]"
6,CBA.AX,stockmixer,classification,1512,252,1991-12-05 13:00:00,2000-03-23 13:00:00,2000-03-26 14:00:00,2001-03-12 13:00:00,0.5714285714285714,0.5670820052158794,0.5816541353383459,0.5714285714285714,0.5765151515151515,0.5765151515151515,0.1,0.5670820052158794,0.47619047619047616,0.30721966205837176,,7.35152281900082,0.2163293750018056,0.47619047619047616,0.47619047619047616,0.30721966205837176,0.47619047619047616,0.47619047619047616,"[[82, 38], [70, 62]]"
7,CBA.AX,stockmixer,classification,1764,252,1991-12-05 13:00:00,2001-03-12 13:00:00,2001-03-13 13:00:00,2002-02-27 13:00:00,0.623015873015873,0.6241387159754506,0.6396686548182492,0.623015873015873,0.6307499839609931,0.6307499839609931,0.1,0.6241387159754506,0.5674603174603174,0.4108700020092425,,7.74779370500255,0.20056530600049882,0.5674603174603174,0.5674603174603174,0.4108700020092425,0.5674603174603174,0.5674603174603174,"[[82, 61], [34, 75]]"
8,CBA.AX,stockmixer,classification,2016,252,1991-12-05 13:00:00,2002-02-27 13:00:00,2002-02-28 13:00:00,2003-02-16 13:00:00,0.5833333333333334,0.6071448522428914,0.6458106884057971,0.5833333333333334,0.5187108402712213,0.5187108402712214,0.1,0.6071448522428914,0.7579365079365079,0.6535705328030385,,8.56418584900166,0.18635950799944112,0.7579365079365079,0.7579365079365079,0.6535705328030385,0.7579365079365079,0.7579365079365079,"[[123, 68], [37, 24]]"
