fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,MSFT,lstm,regression,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.5253399395183255,0.724803379902664,0.6585256979752716,-6.228236863864674,0.558296059503727,0.2741600729451896,0.4703653099087393,0.3906892137992038,-2.7722126128067064,6.50948969800038,0.25898114099982195
2,MSFT,lstm,regression,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.074234610243028,0.272460291130704,0.22683910032272248,0.1255064002581392,0.22542984394562682,0.43198392407254216,0.5906937663774124,0.4643537874222118,-4.088828183458722,9.582858678999855,0.2549035899996852
3,MSFT,lstm,regression,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.1411023863583639,0.3756359758574302,0.3114066492079216,-2.5311702722022233,0.2243565897085156,0.05475984938786815,0.18783043375942413,0.13699290222292848,-0.3703974628578637,10.15996663299984,0.24244504999978744
4,MSFT,lstm,regression,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.047758330195188,0.21853679368744294,0.16733328391650976,-0.07494605711259017,0.12624169879446748,0.08045210489039488,0.24849280533415705,0.18038455481790938,-0.8108186066154472,10.691899121000006,0.23096766400021806
5,MSFT,lstm,regression,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.5508802207559493,0.7422130561745389,0.6084279290241053,-11.062026630725533,0.7109994230271638,0.0760251365303805,0.22480132814168374,0.27117967900365836,-0.6646399469117461,11.262534251000034,0.22059956500015687
6,MSFT,lstm,regression,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.1956137406124264,0.4422824217764328,0.36323140520471375,-1.317202893304199,0.24395094916480783,0.08623635373382106,0.26248350412695426,0.21988508775850454,-0.021539324151705674,11.74297680599966,0.208074470000156
7,MSFT,lstm,regression,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.08832525259992052,0.2971956470070188,0.24347274792907964,-0.7106354720368075,0.20763780685001762,0.07012001218230404,0.21699403524636918,0.17825047076935027,-0.35804627338027095,12.203353887999583,0.19839553000019805
8,MSFT,lstm,regression,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.08502827232276407,0.2915960773446105,0.23817840339132476,-0.9278119500513198,0.3044632439818337,0.11456002982302758,0.27982737222982706,0.3632184220068712,-1.5973736553497098,12.700901601999703,0.18514369800004715
