fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy
1,CBA.AX,lstm,classification,252,252,1991-12-05 13:00:00,1993-06-15 14:00:00,1993-06-16 14:00:00,1994-12-12 13:00:00,0.5912698412698413,0.4657504424946285,0.7631033365727243,0.5912698412698413,0.5318181818181819,6.9860451221466064,0.2803332805633545,0.5634920634920635,0.5
2,CBA.AX,lstm,classification,504,252,1991-12-05 13:00:00,1994-12-12 13:00:00,1994-12-13 13:00:00,1996-07-04 14:00:00,0.4880952380952381,0.5037487047158503,0.8489461358313818,0.4880952380952381,0.6742424242424243,9.985973358154297,0.23198962211608887,0.21428571428571427,0.5
3,CBA.AX,lstm,classification,756,252,1991-12-05 13:00:00,1996-07-04 14:00:00,1996-07-07 14:00:00,1997-12-04 13:00:00,0.9563492063492064,0.9776876267748479,1.0,0.9563492063492064,0.9563492063492064,9.014394521713257,0.25896668434143066,1.0,1.0
4,CBA.AX,lstm,classification,1008,252,1991-12-05 13:00:00,1997-12-04 13:00:00,1997-12-07 13:00:00,1999-04-06 14:00:00,0.9761904761904762,0.9644291451520367,0.9529478458049886,0.9761904761904762,0.5,6.009286403656006,0.2770521640777588,0.9761904761904762,0.5
5,CBA.AX,lstm,classification,1260,252,1991-12-05 13:00:00,1999-04-06 14:00:00,1999-04-07 14:00:00,2000-03-23 13:00:00,0.44047619047619047,0.2693821330184966,0.19401927437641722,0.44047619047619047,0.5,5.246937274932861,0.2727484703063965,0.44047619047619047,0.5
6,CBA.AX,lstm,classification,1512,252,1991-12-05 13:00:00,2000-03-23 13:00:00,2000-03-26 14:00:00,2001-03-12 13:00:00,0.4801587301587302,0.5106823819560946,0.5463155223329641,0.4801587301587302,0.3202122750346101,8.743809700012207,0.2547469139099121,0.7817460317460317,0.5
7,CBA.AX,lstm,classification,1764,252,1991-12-05 13:00:00,2001-03-12 13:00:00,2001-03-13 13:00:00,2002-02-27 13:00:00,0.5634920634920635,0.553472270091833,0.5489987080103359,0.5634920634920635,0.5241187384044527,12.916274547576904,0.1848750114440918,0.6111111111111112,0.5
8,CBA.AX,lstm,classification,2016,252,1991-12-05 13:00:00,2002-02-27 13:00:00,2002-02-28 13:00:00,2003-02-16 13:00:00,0.32142857142857145,0.36196999347684283,0.5538015850778529,0.32142857142857145,0.3696311747416327,10.191968202590942,0.2153160572052002,0.21031746031746032,0.5
