fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,optimal_threshold,f1_optimized,last_sign_accuracy,last_sign_f1,logloss,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy,baseline_f1,baseline_precision,baseline_recall,confusion_matrix
1,^GSPC,lstm,classification,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.6587301587301587,0.551365488152143,0.7790137913088733,0.6587301587301587,0.5425531914893617,0.5425531914893617,0.1,0.551365488152143,0.373015873015873,0.20267914487567668,,5.904102723000506,0.2603742430001148,0.373015873015873,0.373015873015873,0.20267914487567668,0.373015873015873,0.373015873015873,"[[158, 0], [86, 8]]"
2,^GSPC,lstm,classification,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.6944444444444444,0.6204259053884476,0.7949905033238366,0.6944444444444444,0.5947368421052631,0.5947368421052631,0.1,0.6204259053884476,0.623015873015873,0.4783055846625529,,7.453117070000189,0.2463871370000561,0.623015873015873,0.623015873015873,0.4783055846625529,0.623015873015873,0.623015873015873,"[[157, 0], [77, 18]]"
3,^GSPC,lstm,classification,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.6587301587301587,0.6004517704517705,0.5864512471655329,0.6587301587301587,0.5052332535885168,0.5052332535885168,0.1,0.6004517704517705,0.6984126984126984,0.5743954902833408,,8.218297890999565,0.29512989399972867,0.6984126984126984,0.6984126984126984,0.5743954902833408,0.6984126984126984,0.6984126984126984,"[[157, 19], [67, 9]]"
4,^GSPC,lstm,classification,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.6150793650793651,0.5893354105743487,0.6020887913429325,0.6150793650793651,0.5722453222453222,0.5722453222453222,0.1,0.5893354105743487,0.5873015873015873,0.4346031746031746,,8.61740163200011,0.282356732000153,0.5873015873015873,0.5873015873015873,0.4346031746031746,0.5873015873015873,0.5873015873015873,"[[121, 27], [70, 34]]"
5,^GSPC,lstm,classification,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.4801587301587302,0.525438419158226,0.8104571301648574,0.4801587301587302,0.6313374125874126,0.6313374125874126,0.1,0.525438419158226,0.8253968253968254,0.7464458247066943,,6.888381662000029,0.2360709010008577,0.8253968253968254,0.8253968253968254,0.7464458247066943,0.8253968253968254,0.8253968253968254,"[[38, 6], [125, 83]]"
6,^GSPC,lstm,classification,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.6547619047619048,0.6309249273770807,0.6276321415210304,0.6547619047619048,0.5691088411412469,0.5691088411412469,0.1,0.6309249273770807,0.6626984126984127,0.5282607872106679,,8.678443148000042,0.23905013400053576,0.6626984126984127,0.6626984126984127,0.5282607872106679,0.6626984126984127,0.6626984126984127,"[[26, 59], [28, 139]]"
7,^GSPC,lstm,classification,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.6428571428571429,0.5588013900563299,0.6751266578463326,0.6428571428571429,0.5543672014260249,0.554367201426025,0.1,0.5588013900563299,0.39285714285714285,0.2216117216117216,,10.22290126200005,0.258198149999771,0.39285714285714285,0.39285714285714285,0.2216117216117216,0.39285714285714285,0.39285714285714285,"[[14, 85], [5, 148]]"
8,^GSPC,lstm,classification,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.5714285714285714,0.5425251301062236,0.5493090721826452,0.5714285714285714,0.5292517006802722,0.529251700680272,0.1,0.5425251301062236,0.5833333333333334,0.4298245614035088,,10.676058636000562,0.2635493910001969,0.5833333333333334,0.5833333333333334,0.4298245614035088,0.5833333333333334,0.5833333333333334,"[[29, 76], [32, 115]]"
