fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_r2,fit_time,pred_time
1,^GSPC,stockmixer,regression,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.011976454737738305,0.10943698980572476,0.10090504132295029,-15.507916220805804,0.9117701554607085,0.0023903051842643595,0.04186935844794026,-2.29471104663862,5.065765619277954,0.2846982479095459
2,^GSPC,stockmixer,regression,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.009485825211912461,0.09739520117496786,0.08018300219588716,-20.24539233603729,0.91461450174632,0.0030721025649085416,0.05125805004144134,-5.880584749344077,6.592196702957153,0.2515552043914795
3,^GSPC,stockmixer,regression,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.0004064321388717732,0.02016016217374685,0.015911969371703135,0.09507008022151142,0.20409070933450574,0.0009385728882013856,0.026382411644163148,-1.0897527709891723,8.383429765701294,0.23017430305480957
4,^GSPC,stockmixer,regression,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.0006544229070616632,0.02558169085618977,0.02090577135214678,-0.26440936551976546,0.2632921559042846,0.0029497178967215353,0.04984768227746053,-4.699144840454899,8.10895824432373,0.24621152877807617
5,^GSPC,stockmixer,regression,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.0013827269169131102,0.03718503619620546,0.030256917489251012,-0.44343337444808073,0.3220092490038404,0.002216824222123268,0.03672301740280909,-1.3141504141983131,8.421011209487915,0.21927118301391602
6,^GSPC,stockmixer,regression,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.0013206360923272286,0.0363405571273643,0.029381689883924617,-0.5385516333767775,0.2663026999712901,0.0008616284848563207,0.024683785742627064,-0.0038040914083823374,10.27701473236084,0.2230069637298584
7,^GSPC,stockmixer,regression,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.007046713864730934,0.08394470718711772,0.05931598294159449,-0.7242746657599697,0.3104963715367591,0.004142162441436739,0.043581023866066486,-0.013554104272480938,10.237770557403564,0.22370314598083496
8,^GSPC,stockmixer,regression,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.007731099270897848,0.08792666984992578,0.058187027309657996,-0.2481007945929743,0.2489717474769474,0.0180389622747366,0.10883322780085355,-1.9121917026059259,10.254914999008179,0.20644736289978027
