fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,optimal_threshold,f1_optimized,last_sign_accuracy,last_sign_f1,logloss,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy,baseline_f1,baseline_precision,baseline_recall,confusion_matrix
1,MSFT,xgboost,classification,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.5198412698412699,0.5175953112168562,0.7063707290825936,0.5198412698412699,0.613395225464191,0.613395225464191,0.1,0.6573444192491811,0.30952380952380953,0.14632034632034632,0.957285277543261,21.227632706999884,0.01617841299957945,0.30952380952380953,0.30952380952380953,0.14632034632034632,0.30952380952380953,0.30952380952380953,"[[67, 11], [110, 64]]"
2,MSFT,xgboost,classification,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.6468253968253969,0.6570955547163191,0.7292645821684222,0.6468253968253969,0.6845767575322812,0.6845767575322812,0.8,0.7790819063235958,0.6746031746031746,0.5435191454148801,0.7072480365779698,22.497506518000137,0.0014640419999523147,0.6746031746031746,0.6746031746031746,0.5435191454148801,0.6746031746031746,0.6746031746031746,"[[98, 72], [17, 65]]"
3,MSFT,xgboost,classification,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.6150793650793651,0.6001060020054434,0.6044513614738334,0.6150793650793651,0.5829931972789115,0.5829931972789115,0.2,0.6478769346315818,0.5833333333333334,0.4298245614035088,0.8301901949499875,22.39958418499964,0.01568156299981638,0.5833333333333334,0.5833333333333334,0.4298245614035088,0.5833333333333334,0.5833333333333334,"[[114, 33], [64, 41]]"
4,MSFT,xgboost,classification,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.5079365079365079,0.4385821218119355,0.721577380952381,0.5079365079365079,0.5819607843137254,0.5819607843137254,0.1,0.6961747575948244,0.40476190476190477,0.23325262308313158,1.0788634422281786,22.50232317899963,0.0014827869999862742,0.40476190476190477,0.40476190476190477,0.23325262308313158,0.40476190476190477,0.40476190476190477,"[[99, 3], [121, 29]]"
5,MSFT,xgboost,classification,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.5634920634920635,0.5650871655785971,0.6294079921530902,0.5634920634920635,0.5956419711699632,0.5956419711699632,0.5,0.5650871655785971,0.623015873015873,0.4783055846625529,0.8417189886433171,0.19105733099968347,0.0011598250002862187,0.623015873015873,0.623015873015873,0.4783055846625529,0.623015873015873,0.623015873015873,"[[69, 26], [84, 73]]"
6,MSFT,xgboost,classification,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.4246031746031746,0.4699499133040614,0.7050485746137919,0.4246031746031746,0.517156862745098,0.5171568627450981,0.1,0.7163927517909819,0.8095238095238095,0.7243107769423559,0.8909420099804333,0.2037383030001365,0.0011574469999686698,0.8095238095238095,0.8095238095238095,0.7243107769423559,0.8095238095238095,0.8095238095238095,"[[32, 16], [129, 75]]"
7,MSFT,xgboost,classification,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.5396825396825397,0.4567242281527996,0.49339135685200325,0.5396825396825397,0.49377036611079167,0.49377036611079167,0.8,0.5520431949003377,0.44047619047619047,0.2693821330184966,0.7920994693336084,0.23123419799958356,0.0012645469996641623,0.44047619047619047,0.44047619047619047,0.2693821330184966,0.44047619047619047,0.44047619047619047,"[[12, 99], [17, 124]]"
8,MSFT,xgboost,classification,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.5634920634920635,0.5557623504752268,0.6444866532911019,0.5634920634920635,0.6048722519310754,0.6048722519310754,0.30000000000000004,0.65741365385529,0.6071428571428571,0.4587301587301587,0.7317149679109918,0.21710729599999468,0.0016959790000328212,0.6071428571428571,0.6071428571428571,0.4587301587301587,0.6071428571428571,0.6071428571428571,"[[79, 20], [90, 63]]"
