asset,model_type,task,stored_at,MSE,RMSE,MAE,R2,Accuracy,F1,Precision,Recall
AAPL,lstm,regression,2025-08-16T19:02:58.455095,,,,,,,,
AAPL,stockmixer,regression,2025-08-16T19:02:58.856661,,,,,,,,
AAPL,xgboost,regression,2025-08-16T19:03:01.125405,0.048250970628,0.219661035752,0.147706591747,-0.214926407492,,,,
AAPL,lstm,classification,2025-08-16T19:03:01.567946,,,,,,,,
AAPL,stockmixer,classification,2025-08-16T19:03:01.997403,,,,,,,,
AAPL,xgboost,classification,2025-08-16T19:03:06.830115,,,,,0.484126984127,0.509342168917,0.710993533216,0.484126984127
MSFT,lstm,regression,2025-08-16T19:03:10.224690,,,,,,,,
MSFT,stockmixer,regression,2025-08-16T19:03:10.653069,,,,,,,,
MSFT,xgboost,regression,2025-08-16T19:03:12.707660,0.016745688427,0.129405132922,0.105166323233,-0.16754590845,,,,
MSFT,lstm,classification,2025-08-16T19:03:13.147430,,,,,,,,
MSFT,stockmixer,classification,2025-08-16T19:03:13.609174,,,,,,,,
MSFT,xgboost,classification,2025-08-16T19:03:17.584061,,,,,0.555555555556,0.490022172949,0.781818181818,0.555555555556
^GSPC,lstm,regression,2025-08-16T19:03:20.954766,,,,,,,,
^GSPC,stockmixer,regression,2025-08-16T19:03:21.468929,,,,,,,,
^GSPC,xgboost,regression,2025-08-16T19:03:23.645337,0.025273808451,0.158977383459,0.127537131454,-0.426078477247,,,,
^GSPC,lstm,classification,2025-08-16T19:03:24.122932,,,,,,,,
^GSPC,stockmixer,classification,2025-08-16T19:03:24.611364,,,,,,,,
^GSPC,xgboost,classification,2025-08-16T19:03:27.298321,,,,,0.412698412698,0.279189737911,0.462169312169,0.412698412698
IOZ.AX,lstm,regression,2025-08-16T19:03:30.290110,,,,,,,,
IOZ.AX,stockmixer,regression,2025-08-16T19:03:30.744227,,,,,,,,
IOZ.AX,xgboost,regression,2025-08-16T19:03:32.798476,0.005855707015,0.076522591535,0.057914016345,-0.143533622304,,,,
IOZ.AX,lstm,classification,2025-08-16T19:03:33.289799,,,,,,,,
IOZ.AX,stockmixer,classification,2025-08-16T19:03:33.745265,,,,,,,,
IOZ.AX,xgboost,classification,2025-08-16T19:03:37.779193,,,,,0.595238095238,0.575996577898,0.627204585538,0.595238095238
CBA.AX,lstm,regression,2025-08-16T19:03:40.188612,,,,,,,,
CBA.AX,stockmixer,regression,2025-08-16T19:03:40.558314,,,,,,,,
CBA.AX,xgboost,regression,2025-08-16T19:03:40.748131,,,,,,,,
CBA.AX,lstm,classification,2025-08-16T19:03:41.045368,,,,,,,,
CBA.AX,stockmixer,classification,2025-08-16T19:03:41.402168,,,,,,,,
CBA.AX,xgboost,classification,2025-08-16T19:03:41.552376,,,,,,,,
BHP.AX,lstm,regression,2025-08-16T19:03:44.226482,,,,,,,,
BHP.AX,stockmixer,regression,2025-08-16T19:03:44.573283,,,,,,,,
BHP.AX,xgboost,regression,2025-08-16T19:03:44.757651,,,,,,,,
BHP.AX,lstm,classification,2025-08-16T19:03:45.059553,,,,,,,,
BHP.AX,stockmixer,classification,2025-08-16T19:03:45.429276,,,,,,,,
BHP.AX,xgboost,classification,2025-08-16T19:03:45.606988,,,,,,,,
