fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_r2,fit_time,pred_time
1,MSFT,lstm,regression,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.13260439120152578,0.36414885857506923,0.3221689016627753,-13.303208601818085,1.0980525723530885,0.03830480836053761,0.1821301866626259,-3.1317007639723675,8.511445760726929,0.24037551879882812
2,MSFT,lstm,regression,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.008504672979207642,0.09222078387873116,0.0786828268219225,0.1337461972400611,0.27284577672051524,0.06462706430089023,0.23498669312229595,-5.582668181213604,8.962719917297363,0.23640775680541992
3,MSFT,lstm,regression,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.0076993064025843334,0.08774569164685143,0.07171263964250055,-1.5245747134220484,0.2713561649205689,0.00390764595391827,0.051488593001599255,-0.28130297048013686,10.242122173309326,0.2340991497039795
4,MSFT,lstm,regression,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.003132603200746737,0.05596966321809286,0.04504172857994508,0.1131300188263904,0.1690824084589374,0.005956526853308507,0.06992645910056507,-0.6863498246425073,11.039824485778809,0.2093183994293213
5,MSFT,lstm,regression,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.03562885118910897,0.1887560626552402,0.16358564050557628,-4.439568828710657,0.40980296311403797,0.011019455134704799,0.08109087871695861,-0.6823748916843722,11.438597202301025,0.20858120918273926
6,MSFT,lstm,regression,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.01746622234971759,0.13215983637140896,0.11105682496719539,-1.7651149051905612,0.5149560392537313,0.006815973790322612,0.07111995478740017,-0.07905134514184131,12.074861764907837,0.19648385047912598
7,MSFT,lstm,regression,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.02205296816341502,0.14850241803894987,0.1287400533089099,-3.132104170675854,0.47886549555635355,0.006659291177715784,0.06838914059487564,-0.24776332352547925,12.625103235244751,0.18679404258728027
8,MSFT,lstm,regression,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.018721397526004938,0.13682615804737389,0.10932369547653101,-1.6330266038100913,0.2500235357540247,0.016921721049387484,0.10308923173386389,-1.379915369213271,13.055157899856567,0.1718733310699463
