fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,optimal_threshold,f1_optimized,last_sign_accuracy,last_sign_f1,logloss,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy,baseline_f1,baseline_precision,baseline_recall,confusion_matrix
1,AAPL,xgboost,classification,63,63,2020-03-13 04:00:00,2020-06-11 04:00:00,2020-06-12 04:00:00,2020-09-10 04:00:00,0.8888888888888888,0.8366013071895424,0.7901234567901233,0.8888888888888888,0.5,0.5,0.1,0.8366013071895424,0.8888888888888888,0.8366013071895424,0.38320223797564795,0.05921499998657964,0.0011159999994561076,0.8888888888888888,0.8888888888888888,0.8366013071895424,0.8888888888888888,0.8888888888888888,"[[0, 7], [0, 56]]"
2,AAPL,xgboost,classification,126,63,2020-03-13 04:00:00,2020-09-10 04:00:00,2020-09-11 04:00:00,2020-12-09 05:00:00,0.5714285714285714,0.5576985943118665,0.6936507936507937,0.5714285714285714,0.6298076923076923,0.6298076923076923,0.1,0.5576985943118665,0.6190476190476191,0.47338935574229685,0.7565141052392631,0.06828160001896322,0.00113489999785088,0.6190476190476191,0.6190476190476191,0.47338935574229685,0.6190476190476191,0.6190476190476191,"[[15, 24], [3, 21]]"
3,AAPL,xgboost,classification,189,63,2020-03-13 04:00:00,2020-12-09 05:00:00,2020-12-10 05:00:00,2021-03-12 05:00:00,0.7936507936507936,0.7865177346658828,0.801359459254196,0.7936507936507936,0.7671517671517671,0.7671517671517671,0.1,0.7865177346658828,0.4126984126984127,0.24112716247547708,0.44894433688272983,0.08960859998478554,0.001025000005029142,0.4126984126984127,0.4126984126984127,0.24112716247547708,0.4126984126984127,0.4126984126984127,"[[34, 3], [10, 16]]"
