fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,accuracy,f1,precision,recall,balanced_accuracy,fit_time,pred_time,baseline_accuracy,baseline_balanced_accuracy
1,BHP.AX,lstm,classification,252,252,1990-03-08 14:00:00,1991-07-16 14:00:00,1991-07-30 14:00:00,1993-01-05 13:00:00,0.5912698412698413,0.43939753790127856,0.3496000251952633,0.5912698412698413,0.5,7.780085325241089,0.2743532657623291,0.5912698412698413,0.5
2,BHP.AX,lstm,classification,504,252,1990-03-08 14:00:00,1993-01-05 13:00:00,1993-01-06 13:00:00,1994-06-07 14:00:00,0.42857142857142855,0.44398812156441525,0.7123236331569666,0.42857142857142855,0.5623889086384642,7.211568593978882,0.3222646713256836,0.7698412698412699,0.5
3,BHP.AX,lstm,classification,756,252,1990-03-08 14:00:00,1994-06-07 14:00:00,1994-06-08 14:00:00,1995-11-07 13:00:00,0.5992063492063492,0.5703911194107273,0.570593149540518,0.5992063492063492,0.5360576923076923,8.755707025527954,0.26758337020874023,0.6190476190476191,0.5
4,BHP.AX,lstm,classification,1008,252,1990-03-08 14:00:00,1995-11-07 13:00:00,1995-11-08 13:00:00,1997-04-06 14:00:00,0.5595238095238095,0.5609507547174113,0.5632316271478442,0.5595238095238095,0.5543981481481481,6.630557537078857,0.30498170852661133,0.5714285714285714,0.5
5,BHP.AX,lstm,classification,1260,252,1990-03-08 14:00:00,1997-04-06 14:00:00,1997-04-07 14:00:00,1998-09-07 14:00:00,0.5992063492063492,0.5948270230943709,0.7159435148313739,0.5992063492063492,0.6566576086956522,9.565781831741333,0.2296161651611328,0.36507936507936506,0.5
6,BHP.AX,lstm,classification,1512,252,1990-03-08 14:00:00,1998-09-07 14:00:00,1998-09-08 14:00:00,1999-10-06 14:00:00,0.3373015873015873,0.32709978810081436,0.3821792944820204,0.3373015873015873,0.3725444183707677,8.64302134513855,0.2744584083557129,0.623015873015873,0.5
7,BHP.AX,lstm,classification,1764,252,1990-03-08 14:00:00,1999-10-06 14:00:00,1999-10-07 14:00:00,2000-09-24 13:00:00,0.4880952380952381,0.4651153600932577,0.6204753506340808,0.4880952380952381,0.5599184782608696,11.260418891906738,0.21528267860412598,0.6349206349206349,0.5
8,BHP.AX,lstm,classification,2016,252,1990-03-08 14:00:00,2000-09-24 13:00:00,2000-09-25 13:00:00,2001-09-11 14:00:00,0.5714285714285714,0.5139491371290597,0.5911388140161725,0.5714285714285714,0.5499620541360992,11.17642617225647,0.2155468463897705,0.5317460317460317,0.5
