MSE,RMSE,MAE,R2,asset,model_type,task,stored_at,Accuracy,F1,Precision,Recall
0.004012370758,0.063343277136,0.06183542507,-0.495878144331,AAPL,arima,regression,2025-08-17T00:30:28.882339,,,,
0.136828370158,0.369903190252,0.310042679034,-50.011878207113,AAPL,lstm,regression,2025-08-17T00:32:11.059501,,,,
0.005120117691,0.071554997664,0.059515252318,-0.908864512084,AAPL,xgboost,regression,2025-08-17T00:32:15.190237,,,,
0.272747665644,0.522252492233,0.374632507563,-0.503521323204,AAPL,lstm,classification,2025-08-17T00:34:06.352765,,,,
,,,,AAPL,xgboost,classification,2025-08-17T00:34:15.660358,0.52380952381,0.540712836859,0.801328903654,0.52380952381
0.00345356444,0.058767035315,0.055309443211,-1.941823943906,MSFT,arima,regression,2025-08-17T00:34:29.855993,,,,
0.052712607718,0.229592264064,0.224934612346,-43.901786035863,MSFT,lstm,regression,2025-08-17T00:37:17.910518,,,,
0.004213002557,0.064907646364,0.048984858107,-2.588730429962,MSFT,xgboost,regression,2025-08-17T00:37:20.379998,,,,
0.311186164618,0.557840626539,0.464271008968,-0.270677089691,MSFT,lstm,classification,2025-08-17T00:40:24.960714,,,,
,,,,MSFT,xgboost,classification,2025-08-17T00:40:29.318394,0.642857142857,0.614209320092,0.805194805195,0.642857142857
0.000141631939,0.011900921768,0.008142134915,-0.312051250129,^GSPC,arima,regression,2025-08-17T00:40:39.381813,,,,
0.008936008285,0.094530462205,0.091057153948,-81.781475205236,^GSPC,lstm,regression,2025-08-17T00:42:57.448655,,,,
0.008214012917,0.090631191745,0.089139065718,-75.093047922523,^GSPC,xgboost,regression,2025-08-17T00:43:00.099106,,,,
0.299800932407,0.547540804331,0.475323885679,-0.236912250519,^GSPC,lstm,classification,2025-08-17T00:45:14.113443,,,,
,,,,^GSPC,xgboost,classification,2025-08-17T00:45:18.410286,0.706349206349,0.699583402598,0.80141650156,0.706349206349
0.001046259509,0.032345934975,0.030849368634,-3.825344263737,IOZ.AX,arima,regression,2025-08-17T00:45:23.832565,,,,
0.002543746553,0.050435568331,0.041945969899,-10.73174793301,IOZ.AX,lstm,regression,2025-08-17T00:46:32.494581,,,,
0.000861770017,0.029355919627,0.024477408407,-2.974479535492,IOZ.AX,xgboost,regression,2025-08-17T00:46:34.703655,,,,
0.202154681087,0.449616148605,0.356384634972,0.190565526485,IOZ.AX,lstm,classification,2025-08-17T00:47:34.394005,,,,
,,,,IOZ.AX,xgboost,classification,2025-08-17T00:47:38.514355,0.373015873016,0.307452012767,0.306819950202,0.373015873016
0.018354129405,0.135477412895,0.128957205332,-9.617230944397,CBA.AX,arima,regression,2025-08-17T00:47:44.863511,,,,
0.008347607991,0.091365244984,0.083274145758,-3.828803367278,CBA.AX,lstm,regression,2025-08-17T00:50:01.569320,,,,
0.007112607757,0.084336277824,0.074883114409,-3.114398319264,CBA.AX,xgboost,regression,2025-08-17T00:50:04.059131,,,,
0.703762173653,0.838905342487,0.666844844818,-2.166929244995,CBA.AX,lstm,classification,2025-08-17T00:50:42.349873,,,,
,,,,CBA.AX,xgboost,classification,2025-08-17T00:50:46.818409,0.619047619048,0.551020408163,0.535714285714,0.619047619048
0.002470796003,0.04970710214,0.030483945325,-0.602824360944,BHP.AX,arima,regression,2025-08-17T00:50:50.915642,,,,
0.001954480556,0.044209507533,0.039287112362,-0.267886561527,BHP.AX,lstm,regression,2025-08-17T00:52:36.544474,,,,
0.001929096883,0.043921485433,0.035532714875,-0.25141997728,BHP.AX,xgboost,regression,2025-08-17T00:52:39.246524,,,,
0.250580579042,0.500580242361,0.494261026382,-0.249048113823,BHP.AX,lstm,classification,2025-08-17T00:53:03.847052,,,,
,,,,BHP.AX,xgboost,classification,2025-08-17T00:53:08.025873,0.507936507937,0.511284722222,0.740898201572,0.507936507937
