fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,MSFT,stockmixer,regression,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.2155594658450225,0.4642838203567108,0.39365156217301783,-1.9659174187376207,0.3337059382521835,0.2741600729451896,0.4703653099087393,0.3906892137992038,-2.7722126128067064,5.402442978000181,0.25712802999987616
2,MSFT,stockmixer,regression,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.11835433938001373,0.34402665504291047,0.2859915987826109,-0.3942298875236385,0.2968401476006734,0.43198392407254216,0.5906937663774124,0.4643537874222118,-4.088828183458722,6.632554077001259,0.24759474999882514
3,MSFT,stockmixer,regression,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.13964782443037313,0.3736948279416951,0.3036836804627491,-2.4947690037916863,0.21993436429926294,0.05475984938786815,0.18783043375942413,0.13699290222292848,-0.3703974628578637,6.408833797000625,0.24468942299972696
4,MSFT,stockmixer,regression,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.05660122223801225,0.23791011377831806,0.1940739998354899,-0.2739821602606016,0.1516031419264199,0.08045210489039488,0.24849280533415705,0.18038455481790938,-0.8108186066154472,9.379259212000761,0.19777640299980703
5,MSFT,stockmixer,regression,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,1.5249954922620208,1.234907078391739,1.0956850901373012,-32.391172066695106,1.221335654063524,0.0760251365303805,0.22480132814168374,0.27117967900365836,-0.6646399469117461,5.870757888000298,0.24703989299996465
6,MSFT,stockmixer,regression,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.19485594180732663,0.44142489939663193,0.35844645012126836,-1.308226153847032,0.24278072388735483,0.08623635373382106,0.26248350412695426,0.21988508775850454,-0.021539324151705674,9.31477500499932,0.19614600699969742
7,MSFT,stockmixer,regression,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.2670034904534719,0.5167238048062736,0.36745493990527506,-4.171178439717942,0.3286607881899197,0.07012001218230404,0.21699403524636918,0.17825047076935027,-0.35804627338027095,7.468298507999862,0.22430282800087298
8,MSFT,stockmixer,regression,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.24206008905013918,0.4919960254414045,0.4124926871743202,-4.488131412690279,0.5091017642756959,0.11456002982302758,0.27982737222982706,0.3632184220068712,-1.5973736553497098,11.725476179999532,0.17712185000164027
