fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,AAPL,stockmixer,regression,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.17119452998757162,0.41375660718298096,0.33267736173788465,-1.1973044669679052,0.34820707947318114,0.4946319980010833,0.6517669386591263,0.6660029710221931,-5.348667207952782,5.13511478800001,0.284434988999692
2,AAPL,stockmixer,regression,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.166096012956005,0.40754878598273975,0.34964723323125674,-2.157946376512264,0.3074749441939644,0.17344250650466286,0.3537986092261633,0.29224872707912325,-2.2976236166165074,5.42747861900034,0.3014519680000376
3,AAPL,stockmixer,regression,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.2331306595915602,0.48283605871098756,0.393645976398034,-0.619999973836324,8.290822610422728,0.184152156551556,0.32547717816717076,12.139571055373304,-0.2796536041980775,7.7750782940001955,0.25916987600021457
4,AAPL,stockmixer,regression,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.12202800969809395,0.34932507739653323,0.27241662928055704,-0.45516035559982515,0.2958650455130348,0.14850297990603953,0.33677280355463757,0.4603861835861965,-0.770869242089026,12.307427974000348,0.2103175460001694
5,AAPL,stockmixer,regression,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.10755234863178312,0.3279517474138278,0.2710311674732967,-0.6060719302579292,0.308241904726293,0.14131367285834287,0.30485730070418854,0.29405652686385364,-1.1102274959744878,11.261252398000124,0.2508314939996126
6,AAPL,stockmixer,regression,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.12339206668110089,0.35127206931536825,0.2875847274504706,-0.40261504523766134,0.9838312897296363,0.08926664707018696,0.2236749633292801,0.8858630623618126,-0.014706581924330608,11.738870800000313,0.23940460599988
7,AAPL,stockmixer,regression,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.2695287834319735,0.5191616159077763,0.4359270848942512,-0.2746760392784815,1.4835448704494156,0.22018219770496247,0.39221284899282055,1.2507639926784218,-0.04130240977036137,11.660923834000187,0.23021091100008562
8,AAPL,stockmixer,regression,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.13731659485724407,0.3705625383889257,0.2961094872651537,-1.0765099517070609,0.7286009724290796,0.14010414133078677,0.3157219529611298,0.7837532652443041,-1.1186634000878453,14.085217917000136,0.20647749799991288
