fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,IOZ.AX,lstm,regression,252,252,2011-02-17 13:00:00,2012-02-21 13:00:00,2012-02-22 13:00:00,2013-02-19 13:00:00,0.5249012340946007,0.7245006791539954,0.6431997303635337,-3.5645927293334063,0.28353700965194134,0.18243834699866057,0.3004253435602408,0.16559616722659598,-0.5865017991395658,4.178322382002079,0.21115198400002555
2,IOZ.AX,lstm,regression,504,252,2011-02-17 13:00:00,2013-02-19 13:00:00,2013-02-20 13:00:00,2014-02-18 13:00:00,0.3458609841899061,0.5880994679388054,0.4022414950883515,-1.7569888090279218,0.23622293825401308,0.16212014209289938,0.2792806855860933,0.16894188114354047,-0.29232101306548763,6.126304181001615,0.18846684900199762
3,IOZ.AX,lstm,regression,756,252,2011-02-17 13:00:00,2014-02-18 13:00:00,2014-02-19 13:00:00,2015-02-17 13:00:00,0.09222097719595734,0.3036790694070919,0.24238551577282805,-0.7456144063324337,0.10827630180557572,0.07519178242684899,0.21773989165734575,0.1068950442204935,-0.4232755131536978,7.286394724000274,0.18106329799775267
4,IOZ.AX,lstm,regression,1008,252,2011-02-17 13:00:00,2015-02-17 13:00:00,2015-02-18 13:00:00,2016-02-14 13:00:00,0.23142974361788415,0.4810714537549325,0.4072739447403915,-3.8106291986904584,0.2456497477082108,0.16262757844153908,0.3449453855754327,0.2154888800876357,-2.380468582529551,7.1729241400025785,0.18940020900117815
5,IOZ.AX,lstm,regression,1260,252,2011-02-17 13:00:00,2016-02-14 13:00:00,2016-02-15 13:00:00,2017-02-12 13:00:00,0.22046338030390972,0.46953528121314775,0.4046304409415003,-1.687300324944962,0.1814269933894637,0.1669944077182385,0.35358631493178255,0.15793221262919854,-1.0355495116992621,7.493335949999164,0.18557954200150562
6,IOZ.AX,lstm,regression,1512,252,2011-02-17 13:00:00,2017-02-12 13:00:00,2017-02-13 13:00:00,2018-02-11 13:00:00,0.18895714152996848,0.4346920076674616,0.3551391688739274,-0.8405172968571357,0.15094096382572897,0.10704410415393925,0.26812894497122647,0.113587278235518,-0.04265191369148469,7.199209102000168,0.1890085650011315
7,IOZ.AX,lstm,regression,1764,252,2011-02-17 13:00:00,2018-02-11 13:00:00,2018-02-12 13:00:00,2019-02-10 13:00:00,0.2985392495008388,0.5463874536451572,0.46222547302146416,-1.3618584767091102,0.2075720594249206,0.15788071931728004,0.35539975701782917,0.1504024414425721,-0.24905490936926244,5.637953402001585,0.1998448289996304
8,IOZ.AX,lstm,regression,2016,252,2011-02-17 13:00:00,2019-02-10 13:00:00,2019-02-11 13:00:00,2020-02-09 13:00:00,0.3879807701811958,0.6228810240978575,0.403116701600596,-1.6696591162329848,0.28374201927857023,0.3217195943513922,0.4249750603555057,0.2799143317200401,-1.2137222098142422,8.986085732998617,0.18752275699807797
