fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,BHP.AX,arima,regression,252,252,1990-03-08 14:00:00,1991-07-16 14:00:00,1991-07-30 14:00:00,1993-01-05 13:00:00,2.822106003050092,1.6799124986290481,1.448820280853341,-1.0530988828231198,1.1840297522065106,1.458729827915882,1.0446927508545893,0.7526933806188558,-0.06123461585000256,0.5524589549995653,0.011621282999840332
2,BHP.AX,arima,regression,504,252,1990-03-08 14:00:00,1993-01-05 13:00:00,1993-01-06 13:00:00,1994-06-07 14:00:00,1.0051189566748853,1.0025562112295177,0.666867590554309,-0.5262534979572644,0.2972735578194165,0.938594372760494,0.6425570205083406,0.2887717083747842,-0.4252372170233236,4.3288927449993935,0.023619031000635005
3,BHP.AX,arima,regression,756,252,1990-03-08 14:00:00,1994-06-07 14:00:00,1994-06-08 14:00:00,1995-11-07 13:00:00,0.6077576648719348,0.7795881379753894,0.5326256404537886,0.03979309883777016,0.34961616625842745,0.6391453237619608,0.5425403232573606,0.34106444254471013,-0.009796809146155994,1.5106848400000672,0.01188039399949048
4,BHP.AX,arima,regression,1008,252,1990-03-08 14:00:00,1995-11-07 13:00:00,1995-11-08 13:00:00,1997-04-06 14:00:00,1.83826515383895,1.3558263730430051,0.8944218338677289,-0.12022391139799682,0.3264249161864015,1.9156305632870385,0.8757577496568263,0.300989399845534,-0.1673697659543154,4.660461788999783,0.006762481999430747
5,BHP.AX,arima,regression,1260,252,1990-03-08 14:00:00,1997-04-06 14:00:00,1997-04-07 14:00:00,1998-09-07 14:00:00,1.3205243675210843,1.1491407083212588,0.9603605440260138,-0.1128567536587699,0.6600106810615387,1.1931670255896265,0.7737100226517046,0.4398880752830047,-0.005527815562371252,4.354232706000403,0.008227491999605263
6,BHP.AX,arima,regression,1512,252,1990-03-08 14:00:00,1998-09-07 14:00:00,1998-09-08 14:00:00,1999-10-06 14:00:00,0.19028604101529906,0.436217882502883,0.38124747098776385,-2.5133156426743932,0.2929801328567435,0.1774696442250112,0.36665703527979776,0.28111573724364775,-2.276682166640985,8.920776187999763,0.012200877000395849
7,BHP.AX,arima,regression,1764,252,1990-03-08 14:00:00,1999-10-06 14:00:00,1999-10-07 14:00:00,2000-09-24 13:00:00,0.060305622492547686,0.24557203116916163,0.2032971235877323,0.004517462346867895,0.15939710790347172,0.06264713202111692,0.2058965229715468,0.1598308980072638,-0.03413451985799276,9.520949791000021,0.014083627999752935
8,BHP.AX,arima,regression,2016,252,1990-03-08 14:00:00,2000-09-24 13:00:00,2000-09-25 13:00:00,2001-09-11 14:00:00,0.1453865307459703,0.3812958572368316,0.2973705779204263,-0.942638690190365,0.27163377205462963,0.12154428513679305,0.2673818859457326,0.24558041840479758,-0.6240612501498586,4.253776757000196,0.018183897000199067
