fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_r2,fit_time,pred_time
1,IOZ.AX,arima,regression,252,252,2011-02-17 13:00:00,2012-02-21 13:00:00,2012-02-22 13:00:00,2013-02-19 13:00:00,0.004827778744255532,0.06948221890710984,0.06264456097883697,-1.4213875158019134,0.6685758897275514,0.003050126992466284,0.035797508318292884,-0.5298007245995249,20.12053418159485,0.006714820861816406
2,IOZ.AX,arima,regression,504,252,2011-02-17 13:00:00,2013-02-19 13:00:00,2013-02-20 13:00:00,2014-02-18 13:00:00,0.0034038370322251035,0.05834241195069933,0.04543091786141101,-0.03449715935775277,0.36198036166027847,0.00421645251349237,0.038544386361963126,-0.28146797466484874,23.1148898601532,0.011652946472167969
3,IOZ.AX,arima,regression,756,252,2011-02-17 13:00:00,2014-02-18 13:00:00,2014-02-19 13:00:00,2015-02-17 13:00:00,0.0008459741625273268,0.0290856349858023,0.025188885462506704,-0.1910570824299498,0.24601453856509573,0.0010535808861648556,0.02438264647048421,-0.4833490571751813,21.2705979347229,0.00040435791015625
4,IOZ.AX,arima,regression,1008,252,2011-02-17 13:00:00,2015-02-17 13:00:00,2015-02-18 13:00:00,2016-02-14 13:00:00,0.004831316736694123,0.06950767394104138,0.05733870417307964,-2.015913856115746,0.29291450442602796,0.004494157802163823,0.054539373663507716,-1.8054448767917082,29.12136960029602,0.005720615386962891
5,IOZ.AX,arima,regression,1260,252,2011-02-17 13:00:00,2016-02-14 13:00:00,2016-02-15 13:00:00,2017-02-12 13:00:00,0.0015130278700308947,0.03889765892738141,0.033498757248284515,-0.05415793640628319,0.2956775289069246,0.0026589223627524502,0.04604875175835581,-0.8525264249933535,27.55447816848755,0.0005404949188232422
6,IOZ.AX,arima,regression,1512,252,2011-02-17 13:00:00,2017-02-12 13:00:00,2017-02-13 13:00:00,2018-02-11 13:00:00,0.0019756657566408083,0.04444846180286567,0.0393400070922791,-0.9871675461740002,0.5149896281908829,0.0009963299708768145,0.025655837363090128,-0.0021303334088456083,30.659677743911743,0.0004863739013671875
7,IOZ.AX,arima,regression,1764,252,2011-02-17 13:00:00,2018-02-11 13:00:00,2018-02-12 13:00:00,2019-02-10 13:00:00,0.0018606506692281602,0.04313526016182307,0.03974345346497659,-0.2726207460035779,0.4744702172534316,0.0016093380178940743,0.03657533994182618,-0.10073157889109008,30.966845512390137,0.00041365623474121094
8,IOZ.AX,arima,regression,2016,252,2011-02-17 13:00:00,2019-02-10 13:00:00,2019-02-11 13:00:00,2020-02-09 13:00:00,0.0064131648399352835,0.08008223798031174,0.03937700570293435,-0.018537262409644928,0.25690627293656176,0.008995991454047607,0.052328984676656295,-0.42874114995595125,30.730839729309082,0.0004394054412841797
