fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,mae,r2,fit_time,pred_time
1,BHP.AX,enhanced_arima,regression,252,252,1990-03-08 14:00:00,1991-07-16 14:00:00,1991-07-30 14:00:00,1993-01-05 13:00:00,0.0251637610840806,0.12991490012665707,-0.043666041815737744,0.0,0.0
2,BHP.AX,enhanced_arima,regression,504,252,1990-03-08 14:00:00,1993-01-05 13:00:00,1993-01-06 13:00:00,1994-06-07 14:00:00,0.01625627329301918,0.11408168133910028,-0.082759593575783,0.0,0.0
3,BHP.AX,enhanced_arima,regression,756,252,1990-03-08 14:00:00,1994-06-07 14:00:00,1994-06-08 14:00:00,1995-11-07 13:00:00,0.014465821094711654,0.09651180467714161,-0.04801908552862488,0.0,0.0
4,BHP.AX,enhanced_arima,regression,1008,252,1990-03-08 14:00:00,1995-11-07 13:00:00,1995-11-08 13:00:00,1997-04-06 14:00:00,0.010570638221026144,0.08578152507891497,-0.18524861275885507,0.0,0.0
5,BHP.AX,enhanced_arima,regression,1260,252,1990-03-08 14:00:00,1997-04-06 14:00:00,1997-04-07 14:00:00,1998-09-07 14:00:00,0.016941528715182362,0.1089611460480067,-0.045547179905931046,0.0,0.0
6,BHP.AX,enhanced_arima,regression,1512,252,1990-03-08 14:00:00,1998-09-07 14:00:00,1998-09-08 14:00:00,1999-10-06 14:00:00,0.01902830637180329,0.1155242348515702,-2.331479875685956,0.0,0.0
7,BHP.AX,enhanced_arima,regression,1764,252,1990-03-08 14:00:00,1999-10-06 14:00:00,1999-10-07 14:00:00,2000-09-24 13:00:00,0.008217090762923884,0.07054623748588726,-0.7955102656219706,0.0,0.0
8,BHP.AX,enhanced_arima,regression,2016,252,1990-03-08 14:00:00,2000-09-24 13:00:00,2000-09-25 13:00:00,2001-09-11 14:00:00,0.008027798100014333,0.06186342206401736,-0.3163742787248425,0.0,0.0
