fold,asset,model_type,task,train_size,test_size,train_start_idx,train_end_idx,test_start_idx,test_end_idx,mse,rmse,mae,r2,mape,baseline_mse,baseline_mae,baseline_mape,baseline_r2,fit_time,pred_time
1,MSFT,enhanced_arima,regression,252,252,1990-03-13 05:00:00,1991-03-11 05:00:00,1991-03-12 05:00:00,1992-03-09 05:00:00,0.2709874926601941,0.5205645902865408,0.4673924450995879,-2.728560569540221,0.38836497637369266,0.2741600729451896,0.4703653099087393,0.3906892137992038,-2.7722126128067064,0.9314123280000786,0.010174263999942923
2,MSFT,enhanced_arima,regression,504,252,1990-03-13 05:00:00,1992-03-09 05:00:00,1992-03-10 05:00:00,1993-03-08 05:00:00,0.43011225414105825,0.6558294398249123,0.5892168322467171,-4.066779662283277,0.463092688253055,0.43198392407254216,0.5906937663774124,0.4643537874222118,-4.088828183458722,0.7458004279997112,0.007319058000575751
3,MSFT,enhanced_arima,regression,756,252,1990-03-13 05:00:00,1993-03-08 05:00:00,1993-03-09 05:00:00,1994-03-04 05:00:00,0.05165414619246276,0.22727548524304764,0.18273701618938096,-0.2926754123602415,0.13427183860745676,0.05475984938786815,0.18783043375942413,0.13699290222292848,-0.3703974628578637,1.425742999999784,0.009158316999673843
4,MSFT,enhanced_arima,regression,1008,252,1990-03-13 05:00:00,1994-03-04 05:00:00,1994-03-07 05:00:00,1995-03-06 05:00:00,0.08957673965407609,0.29929373473909554,0.2625147078304417,-1.0161961841340097,0.18919454465433694,0.08045210489039488,0.24849280533415705,0.18038455481790938,-0.8108186066154472,0.994708038000681,0.00718365300053847
5,MSFT,enhanced_arima,regression,1260,252,1990-03-13 05:00:00,1995-03-06 05:00:00,1995-03-07 05:00:00,1996-03-04 05:00:00,0.05922790366422867,0.2433678361333491,0.19444016699202038,-0.2968491595135152,0.23234403878993795,0.0760251365303805,0.22480132814168374,0.27117967900365836,-0.6646399469117461,1.229915025000082,0.008934573001170065
6,MSFT,enhanced_arima,regression,1512,252,1990-03-13 05:00:00,1996-03-04 05:00:00,1996-03-05 05:00:00,1997-03-03 05:00:00,0.09126203614478053,0.3020960710515457,0.26075723941768536,-0.08107259511239029,0.22492259212467955,0.08623635373382106,0.26248350412695426,0.21988508775850454,-0.021539324151705674,1.5488671809998777,0.005185598000025493
7,MSFT,enhanced_arima,regression,1764,252,1990-03-13 05:00:00,1997-03-03 05:00:00,1997-03-04 05:00:00,1998-03-03 05:00:00,0.07101139767675893,0.2664796383905512,0.21839317528351568,-0.37531014301209353,0.17905085836790816,0.07012001218230404,0.21699403524636918,0.17825047076935027,-0.35804627338027095,1.4354286639991187,0.005031614000472473
8,MSFT,enhanced_arima,regression,2016,252,1990-03-13 05:00:00,1998-03-03 05:00:00,1998-03-04 05:00:00,1999-03-03 05:00:00,0.11421781456547123,0.3379612619302266,0.2793142852364486,-1.5896147459309362,0.36260207857940335,0.11456002982302758,0.27982737222982706,0.3632184220068712,-1.5973736553497098,1.5912221529997623,0.007825394999599666
